"","genre","vote","ws.score","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.8,15042,100,0.734834635200266,0.734149795884362,0.734833222848304,0.684554973821989,0.697333333333333,0.697333333333333,0.680371352785146,0.688829787234043,0.690885072655218,0.68885234305924,"GBM"
"2","All",50,0.8,15042,200,0.740152900116337,0.738392035472267,0.740139791183295,0.693460490463215,0.678666666666667,0.678666666666667,0.70159151193634,0.690159574468085,0.685983827493261,0.690129089301503,"GBM"
"3","All",50,0.8,15042,300,0.743310619910254,0.742819082507701,0.743311153463706,0.693430656934307,0.696666666666667,0.696666666666667,0.693633952254642,0.695146276595745,0.69504489524443,0.695150309460654,"GBM"
"4","All",50,0.8,15042,350,0.74389230513545,0.742048878473385,0.743878052148934,0.693537641572285,0.694,0.694,0.694960212201592,0.694481382978723,0.693768743752083,0.694480106100796,"GBM"
"5","All",50,0.8,15042,400,0.743559913578195,0.7425329551143,0.743554579604464,0.686195286195286,0.679333333333333,0.679333333333333,0.690981432360743,0.685172872340426,0.682747068676717,0.685157382847038,"GBM"
"6","All",50,0.8,15042,450,0.746135948146917,0.744799933171832,0.746127113026185,0.682092555331992,0.678,0.678,0.685676392572944,0.681848404255319,0.680040120361083,0.681838196286472,"GBM"
"7","All",50,0.8,15042,500,0.744723284028586,0.743829219479653,0.744719368025632,0.689839572192513,0.688,0.688,0.692307692307692,0.690159574468085,0.688918558077437,0.690153846153846,"GBM"
"8","All",50,0.8,15042,550,0.751371115173675,0.750998668442077,0.751372886973815,0.686835106382979,0.688666666666667,0.688666666666667,0.687665782493369,0.688164893617021,0.687749667110519,0.688166224580018,"GBM"
"9","All",50,0.8,15042,600,0.746135948146917,0.745268073042608,0.746132278201304,0.688634835238736,0.682666666666667,0.682666666666667,0.692970822281167,0.687832446808511,0.685637763642451,0.687818744473917,"GBM"
"10","All",50,0.8,15042,650,0.746052850257603,0.745968412302577,0.746057866534085,0.691650230111769,0.701333333333333,0.701333333333333,0.688992042440318,0.695146276595745,0.696458126448196,0.695162687886826,"GBM"
"11","All",50,0.8,15042,700,0.74596975236829,0.743690785612476,0.745950585570655,0.695146958304853,0.678,0.678,0.704244031830239,0.691156914893617,0.68646641916976,0.691122015915119,"GBM"
"12","All",50,0.8,15042,100,0.728957208142917,0.732403609515997,0.728908099668857,0.703311258278146,0.702380952380952,0.702380952380952,0.700334448160535,0.701363485201197,0.702845797485109,0.701357700270744,"GBM"
"13","All",50,0.8,15042,200,0.734856668051516,0.738806580993697,0.734795252497267,0.696911196911197,0.716269841269841,0.716269841269841,0.68494983277592,0.700698370468906,0.706457925636008,0.700609837022881,"GBM"
"14","All",50,0.8,15042,300,0.735936850851683,0.740317045268835,0.735865754389826,0.703800786369594,0.71031746031746,0.71031746031746,0.697658862876254,0.704023944130363,0.707044107965767,0.703988161596857,"GBM"
"15","All",50,0.8,15042,350,0.737598670544246,0.74312672848544,0.737501720557967,0.700195950359242,0.708994708994709,0.708994708994709,0.692976588628763,0.701030927835051,0.704567860663819,0.700985648811736,"GBM"
"16","All",50,0.8,15042,400,0.737681761528874,0.739971995716992,0.737655590360722,0.699406723796968,0.701719576719577,0.701719576719577,0.694983277591973,0.698370468905886,0.700561241333774,0.698351427155775,"GBM"
"17","All",50,0.8,15042,450,0.739011217282925,0.742012320328542,0.738969359265318,0.701119157340355,0.704365079365079,0.704365079365079,0.696321070234114,0.70036581310276,0.70273837017486,0.700343074799597,"GBM"
"18","All",50,0.8,15042,500,0.741171582883257,0.74469305794607,0.741117764487595,0.700260078023407,0.712301587301587,0.712301587301587,0.691638795986622,0.702028599933489,0.706229508196721,0.701970191644105,"GBM"
"19","All",50,0.8,15042,550,0.742334856668052,0.74584050487665,0.742281074326337,0.703899537343027,0.704365079365079,0.704365079365079,0.700334448160535,0.702361157299634,0.704132231404959,0.702349763762807,"GBM"
"20","All",50,0.8,15042,600,0.740673036975488,0.743655030800821,0.74063123046352,0.696078431372549,0.704365079365079,0.704365079365079,0.688963210702341,0.696707682075158,0.700197238658777,0.69666414503371,"GBM"
"21","All",50,0.8,15042,650,0.742667220606564,0.746417751576189,0.742607897488107,0.69811320754717,0.709656084656085,0.709656084656085,0.689632107023411,0.699700698370469,0.703837323712693,0.699644095839748,"GBM"
"22","All",50,0.8,15042,700,0.743664312422102,0.74594416536276,0.743637401494604,0.697889182058048,0.69973544973545,0.69973544973545,0.693645484949833,0.696707682075158,0.698811096433289,0.696690467342641,"GBM"
"23","All",50,0.8,15042,100,0.734856668051516,0.737474290415467,0.734833885666943,0.687902187902188,0.708885941644562,0.708885941644562,0.676450967311541,0.69271699368141,0.698236446766819,0.692668454478052,"GBM"
"24","All",50,0.8,15042,200,0.736269214790195,0.738808426596445,0.736247169290251,0.696291560102302,0.722148541114058,0.722148541114058,0.683122081387592,0.70269371466578,0.708984375,0.702635311250825,"GBM"
"25","All",50,0.8,15042,300,0.741254673867885,0.743323442136498,0.741237503452085,0.690920798454604,0.711538461538462,0.711538461538462,0.679786524349566,0.695710009976721,0.701078079059131,0.695662492944014,"GBM"
"26","All",50,0.8,15042,350,0.743664312422102,0.744216897438023,0.743664319248826,0.698747528015821,0.702917771883289,0.702917771883289,0.695130086724483,0.699035583638178,0.700826446280992,0.699023929303886,"GBM"
"27","All",50,0.8,15042,400,0.744910677191525,0.746699669966997,0.744896437448219,0.702419882275997,0.712201591511936,0.712201591511936,0.696464309539693,0.704356501496508,0.707276918011195,0.704332950525815,"GBM"
"28","All",50,0.8,15042,450,0.745824678022435,0.747544771808203,0.745811170947252,0.704010184595799,0.73342175066313,0.73342175066313,0.689793195463642,0.711672763551713,0.718415069827866,0.711607473063386,"GBM"
"29","All",50,0.8,15042,500,0.74374740340673,0.746381578947368,0.743723487986744,0.692698412698413,0.723474801061008,0.723474801061008,0.677118078719146,0.70036581310276,0.707752189425884,0.700296439890077,"GBM"
"30","All",50,0.8,15042,550,0.745824678022435,0.748002306615042,0.745805854736261,0.689086294416244,0.720159151193634,0.720159151193634,0.673115410273516,0.696707682075158,0.704280155642023,0.696637280733575,"GBM"
"31","All",50,0.8,15042,600,0.745907769007063,0.747939333992746,0.745890637945319,0.689720812182741,0.720822281167109,0.720822281167109,0.673782521681121,0.697372796807449,0.704928664072633,0.697302401424115,"GBM"
"32","All",50,0.8,15042,650,0.748483589530536,0.749814034217704,0.748474454570561,0.698630136986301,0.710212201591512,0.710212201591512,0.691794529686458,0.701030927835051,0.70437356132851,0.701003365638985,"GBM"
"33","All",50,0.8,15042,700,0.745907769007063,0.747189153439153,0.745899337199669,0.699358974358974,0.723474801061008,0.723474801061008,0.687124749833222,0.705354173594945,0.711212516297262,0.705299775447115,"GBM"
"34","All",50,0.8,15042,100,0.733920558417816,0.736980450139642,0.733883131935091,0.684948979591837,0.71078755790867,0.71078755790867,0.67000668002672,0.690492021276596,0.697629100357259,0.690397118967695,"GBM"
"35","All",50,0.8,15042,200,0.741316270566728,0.743975655892754,0.741284586377693,0.691955526487901,0.700198544010589,0.700198544010589,0.685370741482966,0.69281914893617,0.696052631578947,0.692784642746777,"GBM"
"36","All",50,0.8,15042,300,0.741897955791923,0.745992803402028,0.741840553801891,0.682630906768838,0.70747849106552,0.70747849106552,0.668002672010688,0.687832446808511,0.69483262918427,0.687740581538104,"GBM"
"37","All",50,0.8,15042,350,0.745637360811035,0.749529498404386,0.745582644358732,0.684585492227979,0.699536730641959,0.699536730641959,0.674682698730795,0.687167553191489,0.691980360065466,0.687109714686377,"GBM"
"38","All",50,0.8,15042,400,0.746966927040053,0.749485808309338,0.746936848199459,0.688220230473752,0.7114493712773,0.7114493712773,0.674682698730795,0.693151595744681,0.699642043605597,0.693066035004047,"GBM"
"39","All",50,0.8,15042,450,0.74414159880339,0.746855216640631,0.744108479939542,0.688461538461538,0.71078755790867,0.71078755790867,0.675350701402806,0.693151595744681,0.699446434386193,0.693069129655738,"GBM"
"40","All",50,0.8,15042,500,0.744972577696526,0.747011787981205,0.744951408093569,0.684310018903592,0.71872931833223,0.71872931833223,0.665330661322645,0.692154255319149,0.701097482246611,0.692029989827438,"GBM"
"41","All",50,0.8,15042,550,0.74688382915074,0.750858825453951,0.74682727333997,0.691461836998706,0.70747849106552,0.70747849106552,0.681362725450902,0.694481382978723,0.699378475629702,0.694420608258211,"GBM"
"42","All",50,0.8,15042,600,0.748795080604953,0.752314625153626,0.748746394001032,0.685148514851485,0.686962276637988,0.686962276637988,0.681362725450902,0.684175531914894,0.686054196959683,0.684162501044445,"GBM"
"43","All",50,0.8,15042,650,0.746966927040053,0.749897330595482,0.746929390369345,0.697570332480818,0.722038385175381,0.722038385175381,0.684034736138945,0.703125,0.709593495934959,0.703036560657162,"GBM"
"44","All",50,0.8,15042,700,0.745221871364467,0.748399803052683,0.745180197748509,0.691166989039329,0.70946393117141,0.70946393117141,0.68002672010688,0.694813829787234,0.700195950359242,0.694745325639145,"GBM"
"45","All",50,0.8,15042,100,0.739571214891142,0.744079699493712,0.739466566886738,0.694391934467549,0.724523339907955,0.724523339907955,0.673839946200404,0.699468085106383,0.709137709137709,0.699181643054179,"GBM"
"46","All",50,0.8,15042,200,0.743393717799568,0.747340860742923,0.74331209971142,0.695,0.731097961867193,0.731097961867193,0.67182246133154,0.701795212765957,0.712592117910926,0.701460211599366,"GBM"
"47","All",50,0.8,15042,300,0.74987535316603,0.753399967229232,0.749809590779362,0.707771355170199,0.724523339907955,0.724523339907955,0.694014794889038,0.709441489361702,0.716049382716049,0.709269067398497,"GBM"
"48","All",50,0.8,15042,350,0.749044374272893,0.753388861669116,0.748940936331869,0.698172652804033,0.728468113083498,0.728468113083498,0.67787491593813,0.703457446808511,0.712998712998713,0.703171514510814,"GBM"
"49","All",50,0.8,15042,400,0.750207744723284,0.754371629351201,0.750111969268224,0.69909793814433,0.713346482577252,0.713346482577252,0.685944855413584,0.699800531914894,0.706150341685649,0.699645668995418,"GBM"
"50","All",50,0.8,15042,450,0.750540136280539,0.754658385093168,0.750446281754265,0.69030303030303,0.748849441157133,0.748849441157133,0.65635507733692,0.703125,0.71838536739199,0.702602259247027,"GBM"
"51","All",50,0.8,15042,500,0.753282366627888,0.758244442634965,0.753146596798617,0.695970695970696,0.749506903353057,0.749506903353057,0.665097511768662,0.707779255319149,0.721747388414055,0.707302207560859,"GBM"
"52","All",50,0.8,15042,550,0.748296493269071,0.751782348602803,0.748233346910807,0.70468948035488,0.731097961867193,0.731097961867193,0.686617350369872,0.709109042553192,0.717650855114553,0.708857656118532,"GBM"
"53","All",50,0.8,15042,600,0.752949975070633,0.757997557997558,0.752810405842154,0.696517412935323,0.736357659434583,0.736357659434583,0.67182246133154,0.704454787234043,0.715883668903803,0.704090060383061,"GBM"
"54","All",50,0.8,15042,650,0.75012464683397,0.753988382557474,0.750042949292486,0.695463020509633,0.735700197238659,0.735700197238659,0.670477471418964,0.703457446808511,0.715015974440895,0.703088834328812,"GBM"
"55","All",50,0.8,15042,700,0.755526009639355,0.759404645076873,0.755440305870234,0.689483509645302,0.728468113083498,0.728468113083498,0.664425016812374,0.696808510638298,0.70843989769821,0.696446564947936,"GBM"
"56","All",50,0.8,15042,100,0.737659963436929,0.741631884769621,0.737582650842138,0.707598371777476,0.687541199736322,0.687541199736322,0.710932260228035,0.699135638297872,0.697425610163825,0.699236729982178,"GBM"
"57","All",50,0.8,15042,200,0.740235998005651,0.747087378640777,0.740059551919236,0.708360763660303,0.709294660514173,0.709294660514173,0.702883970489604,0.706117021276596,0.708827404479578,0.706089315501888,"GBM"
"58","All",50,0.8,15042,300,0.741731760013296,0.747275979834119,0.741599093390341,0.710154673839946,0.696110744891233,0.696110744891233,0.710932260228035,0.703457446808511,0.70306258322237,0.703521502559634,"GBM"
"59","All",50,0.8,15042,350,0.7411500747881,0.747179612044477,0.741001165470516,0.716297786720322,0.704021094264997,0.704021094264997,0.716297786720322,0.710106382978723,0.710106382978723,0.710159440492659,"GBM"
