"","genre","vote","ws.score","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.05,15042,100,0.843028087086588,0.844845995893224,0.843179422023514,0.835798816568047,0.757372654155496,0.757372654155496,0.853562005277045,0.805851063829787,0.794655414908579,0.80546732971627,"GBM"
"2","All",50,0.05,15042,200,0.848512547781286,0.850193113649437,0.848660185899697,0.841867469879518,0.749329758713137,0.749329758713137,0.861477572559367,0.805851063829787,0.79290780141844,0.805403665636252,"GBM"
"3","All",50,0.05,15042,300,0.84975901612099,0.851559934318555,0.84991418127143,0.833704528582034,0.752680965147453,0.752680965147453,0.852242744063325,0.802859042553192,0.791123635082776,0.802461854605389,"GBM"
"4","All",50,0.05,15042,350,0.848180156224032,0.849493368481753,0.848307469488884,0.842688330871492,0.764745308310992,0.764745308310992,0.859498680738786,0.8125,0.801827125790583,0.812121994524889,"GBM"
"5","All",50,0.05,15042,400,0.851836463353831,0.853190613421161,0.851968079675845,0.841753343239227,0.759383378016086,0.759383378016086,0.859498680738786,0.809840425531915,0.798449612403101,0.809441029377436,"GBM"
"6","All",50,0.05,15042,450,0.84975901612099,0.851827569250942,0.849929069997675,0.838158871566444,0.756702412868633,0.756702412868633,0.856200527704486,0.806848404255319,0.795350475519549,0.806451470286559,"GBM"
"7","All",50,0.05,15042,500,0.847598470998837,0.848804616652927,0.847719654842311,0.835164835164835,0.764075067024129,0.764075067024129,0.851583113456464,0.808178191489362,0.7980399019951,0.807829090240296,"GBM"
"8","All",50,0.05,15042,550,0.852251952800399,0.853348729792148,0.852369384712753,0.83600583090379,0.768766756032172,0.768766756032172,0.851583113456464,0.810505319148936,0.800977653631285,0.810174934744318,"GBM"
"9","All",50,0.05,15042,600,0.852085757021772,0.854002624671916,0.852249197610909,0.841954022988506,0.785522788203753,0.785522788203753,0.854881266490765,0.820478723404255,0.812760055478502,0.820202027347259,"GBM"
"10","All",50,0.05,15042,650,0.850174505567559,0.852152521525215,0.850339849678558,0.843703703703704,0.763404825737265,0.763404825737265,0.860817941952507,0.8125,0.801548205489092,0.812111383844886,"GBM"
"11","All",50,0.05,15042,700,0.852833638025594,0.854514088556642,0.852984269770682,0.838129496402878,0.78083109919571,0.78083109919571,0.851583113456464,0.816489361702128,0.808466342817488,0.816207106326087,"GBM"
"12","All",50,0.05,15042,100,0.841532325078943,0.844946743637694,0.841536008110421,0.771279675738274,0.88563829787234,0.88563829787234,0.737367021276596,0.811502659574468,0.824512534818942,0.811502659574468,"GBM"
"13","All",50,0.05,15042,200,0.843111184975902,0.845751633986928,0.84311405323038,0.772807533843437,0.873005319148936,0.873005319148936,0.743351063829787,0.808178191489362,0.819856384639401,0.808178191489362,"GBM"
"14","All",50,0.05,15042,300,0.84560412165531,0.848450244698206,0.845607266189022,0.772409778812573,0.882313829787234,0.882313829787234,0.740026595744681,0.811170212765957,0.823711980136561,0.811170212765957,"GBM"
"15","All",50,0.05,15042,350,0.84651819843776,0.849874014468016,0.846521936849027,0.775043936731107,0.879654255319149,0.879654255319149,0.74468085106383,0.812167553191489,0.824042354406727,0.812167553191489,"GBM"
"16","All",50,0.05,15042,400,0.844025261758351,0.846512388584512,0.844027978122371,0.775943396226415,0.875,0.875,0.747340425531915,0.811170212765957,0.8225,0.811170212765957,"GBM"
"17","All",50,0.05,15042,450,0.846933687884328,0.849485210001634,0.84693652862335,0.780023781212842,0.872340425531915,0.872340425531915,0.753989361702128,0.813164893617021,0.82360326428123,0.813164893617021,"GBM"
"18","All",50,0.05,15042,500,0.850589995014127,0.853606904412962,0.850593443516967,0.778635014836795,0.872340425531915,0.872340425531915,0.751994680851064,0.812167553191489,0.82282847287551,0.812167553191489,"GBM"
"19","All",50,0.05,15042,550,0.851670267575204,0.854035489410418,0.851672984150386,0.780316344463972,0.88563829787234,0.88563829787234,0.750664893617021,0.818151595744681,0.829648084708813,0.818151595744681,"GBM"
"20","All",50,0.05,15042,600,0.850839288682067,0.853433493916878,0.850842253823635,0.781417510422871,0.872340425531915,0.872340425531915,0.755984042553192,0.814162234042553,0.824379516179705,0.814162234042553,"GBM"
"21","All",50,0.05,15042,650,0.845687219544624,0.847973802701597,0.845689742607284,0.774307601649971,0.873670212765957,0.873670212765957,0.745345744680851,0.809507978723404,0.820993439550141,0.809507978723404,"GBM"
"22","All",50,0.05,15042,700,0.850506897124813,0.853250672974957,0.850510027983426,0.783511269276394,0.878324468085106,0.878324468085106,0.757313829787234,0.81781914893617,0.8282131661442,0.81781914893617,"GBM"
"23","All",50,0.05,15042,100,0.841449227189629,0.845155007304009,0.841404844666267,0.827773995915589,0.806901128069011,0.806901128069011,0.831445702864757,0.819148936170213,0.817204301075269,0.819173415466884,"GBM"
"24","All",50,0.05,15042,200,0.848844939338541,0.852843621066257,0.848794122882891,0.83344803854095,0.803583278035833,0.803583278035833,0.838774150566289,0.821143617021277,0.818243243243243,0.821178714301061,"GBM"
"25","All",50,0.05,15042,300,0.850091407678245,0.853571428571429,0.850047390982441,0.835294117647059,0.80092899800929,0.80092899800929,0.841439040639574,0.821143617021277,0.817750677506775,0.821184019324432,"GBM"
"26","All",50,0.05,15042,350,0.853415323250789,0.856771679116596,0.853371982683198,0.8442280945758,0.80557398805574,0.80557398805574,0.850766155896069,0.828125,0.824448217317487,0.828170071975905,"GBM"
"27","All",50,0.05,15042,400,0.849011135117168,0.852671693829563,0.848964959675197,0.838142153413089,0.790311877903119,0.790311877903119,0.846768820786143,0.818484042553192,0.813524590163934,0.818540349344631,"GBM"
"28","All",50,0.05,15042,450,0.854412497922553,0.858183584264206,0.854362863699723,0.843247025892232,0.799601857996019,0.799601857996019,0.850766155896069,0.825132978723404,0.820844686648501,0.825184006946044,"GBM"
"29","All",50,0.05,15042,500,0.853830812697357,0.857443877137531,0.853783662064109,0.835893854748603,0.794293297942933,0.794293297942933,0.843437708194537,0.818816489361702,0.814562776454576,0.818865503068735,"GBM"
"30","All",50,0.05,15042,550,0.855658966262257,0.859659045002828,0.855605525278943,0.838509316770186,0.806237558062376,0.806237558062376,0.844103930712858,0.825132978723404,0.822056833558863,0.825170744387617,"GBM"
"31","All",50,0.05,15042,600,0.854661791590494,0.858620968393824,0.854609341002253,0.838530838530839,0.802919708029197,0.802919708029197,0.844770153231179,0.823803191489362,0.820338983050847,0.823844930630188,"GBM"
"32","All",50,0.05,15042,650,0.854744889479807,0.858438613540654,0.854696250940327,0.837129054520359,0.804910418049104,0.804910418049104,0.842771485676216,0.823803191489362,0.820703653585927,0.82384095186266,"GBM"
"33","All",50,0.05,15042,700,0.85366461691873,0.857212357090732,0.853618459985728,0.839642119752237,0.809555408095554,0.809555408095554,0.844770153231179,0.827127659574468,0.824324324324324,0.827162780663367,"GBM"
"34","All",50,0.05,15042,100,0.843443576533156,0.846229187071499,0.843563778018364,0.778796561604585,0.908422459893048,0.908422459893048,0.744708994708995,0.826130319148936,0.838630052452947,0.826565727301021,"GBM"
"35","All",50,0.05,15042,200,0.849592820342363,0.85161501885555,0.849689330506516,0.790588235294118,0.898395721925134,0.898395721925134,0.764550264550265,0.831117021276596,0.841051314142678,0.831472993237699,"GBM"
"36","All",50,0.05,15042,300,0.85250124646834,0.855279249898084,0.852627449485564,0.783768115942029,0.903743315508021,0.903743315508021,0.753306878306878,0.828125,0.839490841353617,0.82852509690745,"GBM"
"37","All",50,0.05,15042,350,0.849343526674422,0.851624519191423,0.849449310718246,0.795629060838748,0.900401069518717,0.900401069518717,0.771164021164021,0.835438829787234,0.8447789275635,0.835782545341369,"GBM"
"38","All",50,0.05,15042,400,0.85067309290344,0.852982082958357,0.850780682350059,0.790588235294118,0.898395721925134,0.898395721925134,0.764550264550265,0.831117021276596,0.841051314142678,0.831472993237699,"GBM"
"39","All",50,0.05,15042,450,0.850756190792754,0.852786885245902,0.850853617760719,0.794674556213018,0.897727272727273,0.897727272727273,0.770502645502645,0.833776595744681,0.843063402385436,0.834114959114959,"GBM"
"40","All",50,0.05,15042,500,0.852002659132458,0.854243391439561,0.852108518389156,0.789659224441833,0.898395721925134,0.898395721925134,0.763227513227513,0.830452127659574,0.840525328330207,0.830811617576323,"GBM"
"41","All",50,0.05,15042,550,0.853498421140103,0.855999346565384,0.853614929482189,0.798693586698337,0.899064171122995,0.899064171122995,0.775793650793651,0.837101063829787,0.845911949685535,0.837428910958323,"GBM"
"42","All",50,0.05,15042,600,0.852085757021772,0.854170080288383,0.85218587329071,0.788947677836567,0.897058823529412,0.897058823529412,0.762566137566138,0.829454787234043,0.839537065999374,0.829812480547775,"GBM"
"43","All",50,0.05,15042,650,0.854661791590494,0.856862263687699,0.854767726060067,0.787932044522554,0.899064171122995,0.899064171122995,0.760582010582011,0.829454787234043,0.839837652201062,0.829823090852503,"GBM"
"44","All",50,0.05,15042,700,0.853332225361476,0.855718139458841,0.853444309511863,0.793021880544057,0.896390374331551,0.896390374331551,0.768518518518518,0.832114361702128,0.841543771572011,0.832454446425035,"GBM"
"45","All",50,0.05,15042,100,0.845105534319428,0.84660961158657,0.845178487458391,0.837741243745532,0.783422459893048,0.783422459893048,0.849867724867725,0.816821808510638,0.809671848013817,0.816645092380387,"GBM"
"46","All",50,0.05,15042,200,0.848678743559914,0.850431211498973,0.848761638709016,0.835694050991501,0.788770053475936,0.788770053475936,0.846560846560847,0.81781914893617,0.811554332874828,0.817665450018391,"GBM"
"47","All",50,0.05,15042,300,0.848928037227854,0.850640814985212,0.849009654582032,0.834517045454545,0.785427807486631,0.785427807486631,0.845899470899471,0.815824468085106,0.809228650137741,0.815663639193051,"GBM"
"48","All",50,0.05,15042,350,0.853581519029417,0.855360367755705,0.853667541282393,0.842067988668555,0.794786096256685,0.794786096256685,0.852513227513228,0.823803191489362,0.817744154057772,0.823649661884956,"GBM"
"49","All",50,0.05,15042,400,0.851254778128635,0.853590708326517,0.851359576666543,0.837953091684435,0.788101604278075,0.788101604278075,0.849206349206349,0.818816489361702,0.812263176024802,0.818653976742212,"GBM"
"50","All",50,0.05,15042,450,0.852667442246967,0.854325856544245,0.852748730724424,0.831205673758865,0.783422459893048,0.783422459893048,0.842592592592593,0.813164893617021,0.806607019958706,0.81300752624282,"GBM"
"51","All",50,0.05,15042,500,0.854080106365298,0.855852897717944,0.854166141853036,0.836531627576404,0.786764705882353,0.786764705882353,0.847883597883598,0.81748670212766,0.810885291078195,0.817324151882975,"GBM"
"52","All",50,0.05,15042,550,0.852002659132458,0.853475935828877,0.852077079764601,0.835007173601148,0.77807486631016,0.77807486631016,0.847883597883598,0.813164893617021,0.805536332179931,0.812979232096879,"GBM"
"53","All",50,0.05,15042,600,0.852002659132458,0.853572309463126,0.852080504864083,0.835460992907801,0.787433155080214,0.787433155080214,0.846560846560847,0.817154255319149,0.810736407432898,0.81699700082053,"GBM"
"54","All",50,0.05,15042,650,0.857404021937843,0.859298130534601,0.857496139581422,0.839360222531293,0.806818181818182,0.806818181818182,0.847222222222222,0.827127659574468,0.822767552828903,0.827020202020202,"GBM"
"55","All",50,0.05,15042,700,0.854744889479807,0.85625,0.854821523590317,0.836065573770492,0.784090909090909,0.784090909090909,0.847883597883598,0.816156914893617,0.809244567092101,0.815987253487254,"GBM"
"56","All",50,0.05,15042,100,0.844786040714583,0.848080676642811,0.844795196394396,0.834938101788171,0.807717897538257,0.807717897538257,0.840425531914894,0.824077153308946,0.821102468718296,0.824071714726575,"GBM"
"57","All",50,0.05,15042,200,0.848608226007478,0.851483534398435,0.848616415771203,0.837016574585635,0.806387225548902,0.806387225548902,0.843085106382979,0.824742268041237,0.821416468993562,0.82473616596594,"GBM"
"58","All",50,0.05,15042,300,0.850602409638554,0.85372600065083,0.850611428240031,0.834351663272234,0.817697937458416,0.817697937458416,0.837765957446808,0.827735284336548,0.825940860215054,0.827731947452613,"GBM"
"59","All",50,0.05,15042,350,0.851931865392605,0.854672973413799,0.851939848606612,0.82876254180602,0.82435129740519,0.82435129740519,0.829787234042553,0.827070169604257,0.826551034022682,0.827069265723871,"GBM"
"60","All",50,0.05,15042,400,0.852679684254258,0.855371563749082,0.852687564035647,0.847493036211699,0.809713905522289,0.809713905522289,0.85438829787234,0.832058530096442,0.828172847907451,0.832051101697315,"GBM"
"61","All",50,0.05,15042,450,0.854175321977565,0.856979871241138,0.854183616263881,0.833109017496635,0.823685961410512,0.823685961410512,0.835106382978723,0.829398071167276,0.828370692539311,0.829396172194618,"GBM"
"62","All",50,0.05,15042,500,0.853676776069796,0.856373868363102,0.853684725064415,0.840925017519271,0.798403193612774,0.798403193612774,0.84906914893617,0.8237445959428,0.819112627986348,0.823736171274472,"GBM"
"63","All",50,0.05,15042,550,0.855587868716244,0.85807610648375,0.855595300232254,0.835690235690236,0.825681969394544,0.825681969394544,0.837765957446808,0.831725972730296,0.830655957161981,0.831723963420676,"GBM"
"64","All",50,0.05,15042,600,0.853676776069796,0.856350436414063,0.853684656023286,0.844055944055944,0.803060545575516,0.803060545575516,0.851728723404255,0.827402726970402,0.823048073644732,0.827394634489886,"GBM"
"65","All",50,0.05,15042,650,0.854840049854591,0.857376112335701,0.854847584803219,0.840027700831025,0.80705256154358,0.80705256154358,0.846409574468085,0.826737612238111,0.823210044112657,0.826731068005832,"GBM"
"66","All",50,0.05,15042,700,0.854092230992937,0.857096354166667,0.854101112114509,0.837241379310345,0.807717897538257,0.807717897538257,0.843085106382979,0.825407382773528,0.822214696918388,0.825401501960618,"GBM"
"67","All",50,0.05,15042,100,0.839122486288848,0.84115523465704,0.839300326947959,0.795188155459593,0.864520456069752,0.864520456069752,0.781147000659196,0.822473404255319,0.82840616966581,0.822833728364474,"GBM"
"68","All",50,0.05,15042,200,0.844357653315606,0.846160164271047,0.84452638400419,0.80125,0.859825620389001,0.859825620389001,0.790375741595254,0.824800531914894,0.829505014558395,0.825100680992127,"GBM"
"69","All",50,0.05,15042,300,0.847016785773641,0.848564612980176,0.847172546536771,0.792809262644729,0.872568745808182,0.872568745808182,0.77587343441002,0.823803191489362,0.830779054916986,0.824221090109101,"GBM"
"70","All",50,0.05,15042,350,0.84651819843776,0.848841967427777,0.846719305398564,0.789569436021831,0.873239436619718,0.873239436619718,0.771259063941991,0.821808510638298,0.829299363057325,0.822249250280854,"GBM"
