"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.9,5014,410,0.818544366899302,0.81998021760633,0.818544366899302,0.724696356275304,0.714570858283433,0.714570858283433,0.728542914171657,0.721556886227545,0.719597989949749,0.721556886227545,"GBM"
"2","All",50,0.9,5014,410,0.85493519441675,0.859826589595376,0.85493519441675,0.735807860262009,0.672654690618762,0.672654690618762,0.758483033932136,0.715568862275449,0.70281543274244,0.715568862275449,"SVM"
"3","All",50,0.9,5014,420,0.827018943170489,0.827706057596822,0.827018943170489,0.717525773195876,0.694610778443114,0.694610778443114,0.726546906187625,0.710578842315369,0.705882352941177,0.710578842315369,"GBM"
"4","All",50,0.9,5014,420,0.857427716849452,0.861969111969112,0.857427716849452,0.740659340659341,0.672654690618762,0.672654690618762,0.764471057884232,0.718562874251497,0.705020920502092,0.718562874251497,"SVM"
"5","All",50,0.9,5014,430,0.824027916251246,0.826193993106844,0.824027916251246,0.726708074534162,0.70059880239521,0.70059880239521,0.736526946107784,0.718562874251497,0.713414634146341,0.718562874251497,"GBM"
"6","All",50,0.9,5014,430,0.858673978065803,0.863208685162847,0.858673978065803,0.741228070175439,0.674650698602794,0.674650698602794,0.764471057884232,0.719560878243513,0.706374085684431,0.719560878243513,"SVM"
"7","All",50,0.9,5014,440,0.826021934197408,0.827483934750371,0.826021934197408,0.746887966804979,0.718562874251497,0.718562874251497,0.756487025948104,0.7375249500998,0.732451678535097,0.7375249500998,"GBM"
"8","All",50,0.9,5014,440,0.857926221335992,0.862451737451737,0.857926221335992,0.735099337748344,0.664670658682635,0.664670658682635,0.760479041916168,0.712574850299401,0.69811320754717,0.712574850299401,"SVM"
"9","All",50,0.9,5014,450,0.820538384845464,0.823095823095823,0.820538384845464,0.713114754098361,0.694610778443114,0.694610778443114,0.720558882235529,0.707584830339321,0.703741152679474,0.707584830339321,"GBM"
"10","All",50,0.9,5014,450,0.856679960119641,0.861545870455093,0.856679960119641,0.734649122807018,0.668662674650699,0.668662674650699,0.758483033932136,0.713572854291417,0.700104493207941,0.713572854291417,"SVM"
"11","All",50,0.9,5014,460,0.822283150548355,0.823296158612144,0.822283150548355,0.725,0.694610778443114,0.694610778443114,0.736526946107784,0.715568862275449,0.709480122324159,0.715568862275449,"GBM"
"12","All",50,0.9,5014,460,0.856929212362911,0.861952861952862,0.856929212362911,0.733041575492341,0.668662674650699,0.668662674650699,0.756487025948104,0.712574850299401,0.69937369519833,0.712574850299401,"SVM"
"13","All",50,0.9,5014,470,0.820039880358923,0.820487319741422,0.820039880358923,0.717791411042945,0.70059880239521,0.70059880239521,0.724550898203593,0.712574850299401,0.709090909090909,0.712574850299401,"GBM"
