"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.8,2006,110,0.701120797011208,0.702233250620347,0.701250760010423,0.617511520737327,0.676767676767677,0.676767676767677,0.589108910891089,0.6325,0.645783132530121,0.632938293829383,"GBM"
"2","All",50,0.8,2006,110,0.820672478206725,0.819774718397998,0.820719745380998,0.652173913043478,0.606060606060606,0.606060606060606,0.683168316831683,0.645,0.6282722513089,0.644614461446145,"SVM"
"3","All",50,0.8,2006,110,0.73972602739726,0.745121951219512,0.73958165303818,0.654545454545455,0.712871287128713,0.712871287128713,0.616161616161616,0.665,0.682464454976303,0.664516451645164,"GBM"
"4","All",50,0.8,2006,110,0.830012453300125,0.834042553191489,0.829844523582038,0.699481865284974,0.668316831683168,0.668316831683168,0.707070707070707,0.6875,0.683544303797468,0.687693769376938,"SVM"
"5","All",50,0.8,2006,110,0.775077881619938,0.764820846905537,0.774495106416032,0.650485436893204,0.683673469387755,0.683673469387755,0.648780487804878,0.665835411471322,0.666666666666667,0.666226978596317,"GBM"
"6","All",50,0.8,2006,110,0.824922118380062,0.821133036282623,0.824852415721609,0.675977653631285,0.61734693877551,0.61734693877551,0.717073170731707,0.668329177057357,0.645333333333333,0.667210054753609,"SVM"
"7","All",50,0.8,2006,110,0.74346201743462,0.748473748473748,0.743360127095832,0.706185567010309,0.67156862745098,0.67156862745098,0.709183673469388,0.69,0.688442211055276,0.690376150460184,"GBM"
"8","All",50,0.8,2006,110,0.821917808219178,0.824969400244798,0.821896725327475,0.71505376344086,0.651960784313726,0.651960784313726,0.729591836734694,0.69,0.682051282051282,0.69077631052421,"SVM"
"9","All",50,0.8,2006,110,0.738940809968847,0.7319257837492,0.738866459627329,0.65,0.65,0.65,0.651741293532338,0.650872817955112,0.65,0.650870646766169,"GBM"
"10","All",50,0.8,2006,110,0.81619937694704,0.817337461300309,0.816226708074534,0.630434782608696,0.58,0.58,0.661691542288557,0.620947630922693,0.604166666666667,0.620845771144279,"SVM"
"11","All",50,0.8,2006,110,0.749688667496887,0.743295019157088,0.749484939123528,0.693548387096774,0.658163265306122,0.658163265306122,0.720588235294118,0.69,0.675392670157068,0.68937575030012,"GBM"
"12","All",50,0.8,2006,110,0.819427148194272,0.817150063051702,0.819480471125563,0.661016949152542,0.596938775510204,0.596938775510204,0.705882352941177,0.6525,0.627345844504021,0.65141056422569,"SVM"
"13","All",50,0.8,2006,110,0.710460772104608,0.71937235968618,0.71021489115852,0.69377990430622,0.717821782178218,0.717821782178218,0.676767676767677,0.6975,0.705596107055961,0.697294729472947,"GBM"
"14","All",50,0.8,2006,110,0.816313823163138,0.819571865443425,0.816214937688543,0.694736842105263,0.653465346534653,0.653465346534653,0.707070707070707,0.68,0.673469387755102,0.68026802680268,"SVM"
"15","All",50,0.8,2006,110,0.736448598130841,0.740012292562999,0.736413043478261,0.6875,0.656716417910448,0.656716417910448,0.7,0.678304239401496,0.67175572519084,0.678358208955224,"GBM"
"16","All",50,0.8,2006,110,0.829283489096573,0.827889447236181,0.829316770186335,0.683060109289617,0.621890547263682,0.621890547263682,0.71,0.665835411471322,0.651041666666667,0.665945273631841,"SVM"
"17","All",50,0.8,2006,110,0.717310087173101,0.731995277449823,0.716267942583732,0.712041884816754,0.653846153846154,0.653846153846154,0.713541666666667,0.6825,0.681704260651629,0.68369391025641,"GBM"
"18","All",50,0.8,2006,110,0.814445828144458,0.824499411071849,0.813465481886535,0.714285714285714,0.697115384615385,0.697115384615385,0.697916666666667,0.6975,0.705596107055961,0.697516025641026,"SVM"
"19","All",50,0.8,2006,110,0.782067247820672,0.792899408284024,0.781196055785304,0.62962962962963,0.660194174757282,0.660194174757282,0.587628865979381,0.625,0.644549763033175,0.623911520368332,"GBM"
"20","All",50,0.8,2006,110,0.815691158156912,0.821686746987952,0.815434720514636,0.66304347826087,0.592233009708738,0.592233009708738,0.680412371134021,0.635,0.625641025641026,0.636322690421379,"SVM"
