"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.9,5014,100,0.800847457627119,0.801293210644118,0.800847457627119,0.720250521920668,0.688622754491018,0.688622754491018,0.732534930139721,0.710578842315369,0.704081632653061,0.710578842315369,"GBM"
"2","All",50,0.9,5014,100,0.827268195413759,0.834329428639732,0.827268195413759,0.713692946058091,0.686626746506986,0.686626746506986,0.724550898203593,0.705588822355289,0.699898270600203,0.70558882235529,"SVM"
"3","All",50,0.9,5014,110,0.797357926221336,0.797811489679184,0.797357926221336,0.716666666666667,0.686626746506986,0.686626746506986,0.728542914171657,0.707584830339321,0.701325178389399,0.707584830339321,"GBM"
"4","All",50,0.9,5014,110,0.833000997008973,0.83955938697318,0.833000997008973,0.720338983050847,0.678642714570858,0.678642714570858,0.736526946107784,0.707584830339321,0.698869475847893,0.707584830339321,"SVM"
"5","All",50,0.9,5014,120,0.809571286141575,0.810984661058882,0.809571286141575,0.708757637474542,0.694610778443114,0.694610778443114,0.714570858283433,0.704590818363273,0.701612903225806,0.704590818363274,"GBM"
"6","All",50,0.9,5014,120,0.835244267198405,0.841903850753408,0.835244267198405,0.726495726495726,0.678642714570858,0.678642714570858,0.744510978043912,0.711576846307385,0.701754385964912,0.711576846307385,"SVM"
"7","All",50,0.9,5014,130,0.779162512462612,0.781665845243963,0.779162512462612,0.706586826347305,0.706586826347305,0.706586826347305,0.706586826347305,0.706586826347305,0.706586826347305,0.706586826347305,"GBM"
"8","All",50,0.9,5014,130,0.836989032901296,0.843090211132438,0.836989032901296,0.722457627118644,0.68063872255489,0.68063872255489,0.738522954091816,0.709580838323353,0.700924974306269,0.709580838323353,"SVM"
"9","All",50,0.9,5014,140,0.806829511465603,0.807930607187113,0.806829511465603,0.713701431492842,0.696606786427146,0.696606786427146,0.720558882235529,0.708582834331337,0.705050505050505,0.708582834331337,"GBM"
"10","All",50,0.9,5014,140,0.833250249252243,0.839760479041916,0.833250249252243,0.720250521920668,0.688622754491018,0.688622754491018,0.732534930139721,0.710578842315369,0.704081632653061,0.710578842315369,"SVM"
"11","All",50,0.9,5014,150,0.806081754735793,0.807139315815568,0.806081754735793,0.709812108559499,0.678642714570858,0.678642714570858,0.722554890219561,0.70059880239521,0.693877551020408,0.70059880239521,"GBM"
"12","All",50,0.9,5014,150,0.837487537387837,0.843570057581574,0.837487537387836,0.725910064239829,0.676646706586826,0.676646706586826,0.744510978043912,0.710578842315369,0.700413223140496,0.710578842315369,"SVM"
"13","All",50,0.9,5014,160,0.808075772681954,0.809027777777778,0.808075772681954,0.715447154471545,0.702594810379242,0.702594810379242,0.720558882235529,0.711576846307385,0.708962739174219,0.711576846307385,"GBM"
"14","All",50,0.9,5014,160,0.836989032901296,0.843090211132438,0.836989032901296,0.727659574468085,0.682634730538922,0.682634730538922,0.744510978043912,0.713572854291417,0.70442842430484,0.713572854291417,"SVM"
"15","All",50,0.9,5014,170,0.812063808574277,0.814650934119961,0.812063808574277,0.713414634146341,0.70059880239521,0.70059880239521,0.718562874251497,0.709580838323353,0.706948640483384,0.709580838323353,"GBM"
"16","All",50,0.9,5014,170,0.837736789631107,0.844071856287425,0.837736789631107,0.723628691983122,0.684630738522954,0.684630738522954,0.738522954091816,0.711576846307385,0.703589743589744,0.711576846307385,"SVM"
"17","All",50,0.9,5014,180,0.808574277168495,0.810089020771513,0.808574277168495,0.723577235772358,0.710578842315369,0.710578842315369,0.728542914171657,0.719560878243513,0.717019133937563,0.719560878243513,"GBM"
"18","All",50,0.9,5014,180,0.838983050847458,0.845009596928983,0.838983050847458,0.725738396624473,0.686626746506986,0.686626746506986,0.740518962075848,0.713572854291417,0.705641025641026,0.713572854291417,"SVM"
