"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.85,5014,100,0.761964107676969,0.76320357054302,0.761964107676969,0.697624190064795,0.644710578842315,0.644710578842315,0.720558882235529,0.682634730538922,0.670124481327801,0.682634730538922,"GBM"
"2","All",50,0.85,5014,100,0.825772681954138,0.829885616938428,0.825772681954138,0.674463937621832,0.69061876247505,0.69061876247505,0.666666666666667,0.678642714570858,0.682445759368836,0.678642714570858,"SVM"
"3","All",50,0.85,5014,110,0.786889332003988,0.786942437079492,0.786889332003988,0.70276008492569,0.660678642714571,0.660678642714571,0.720558882235529,0.69061876247505,0.681069958847737,0.69061876247505,"GBM"
"4","All",50,0.85,5014,110,0.827766699900299,0.832159339324751,0.827766699900299,0.680392156862745,0.692614770459082,0.692614770459082,0.674650698602794,0.683632734530938,0.686449060336301,0.683632734530938,"SVM"
"5","All",50,0.85,5014,120,0.785393818544367,0.785233225243203,0.785393818544367,0.701098901098901,0.636726546906188,0.636726546906188,0.728542914171657,0.682634730538922,0.667364016736402,0.682634730538922,"GBM"
"6","All",50,0.85,5014,120,0.834496510468594,0.838285435947394,0.834496510468594,0.676470588235294,0.688622754491018,0.688622754491018,0.67065868263473,0.679640718562874,0.682492581602374,0.679640718562874,"SVM"
"7","All",50,0.85,5014,130,0.792123629112662,0.791291291291291,0.792123629112662,0.702517162471396,0.612774451097804,0.612774451097804,0.740518962075848,0.676646706586826,0.654584221748401,0.676646706586826,"GBM"
"8","All",50,0.85,5014,130,0.832502492522433,0.836655323286339,0.832502492522433,0.675146771037182,0.688622754491018,0.688622754491018,0.668662674650699,0.678642714570858,0.681818181818182,0.678642714570858,"SVM"
"9","All",50,0.85,5014,140,0.786141575274177,0.787413280475719,0.786141575274177,0.684536082474227,0.662674650698603,0.662674650698603,0.694610778443114,0.678642714570858,0.67342799188641,0.678642714570858,"GBM"
"10","All",50,0.85,5014,140,0.834995014955135,0.839007782101167,0.834995014955135,0.681188118811881,0.686626746506986,0.686626746506986,0.678642714570858,0.682634730538922,0.68389662027833,0.682634730538922,"SVM"
"11","All",50,0.85,5014,150,0.768195413758724,0.767732267732268,0.768195413758724,0.710762331838565,0.632734530938124,0.632734530938124,0.74251497005988,0.687624750499002,0.66948257655755,0.687624750499002,"GBM"
"12","All",50,0.85,5014,150,0.834745762711864,0.838960408064124,0.834745762711864,0.673870333988212,0.684630738522954,0.684630738522954,0.668662674650699,0.676646706586826,0.679207920792079,0.676646706586826,"SVM"
"13","All",50,0.85,5014,160,0.792871385842473,0.794256003961377,0.792871385842473,0.692631578947368,0.656686626746507,0.656686626746507,0.708582834331337,0.682634730538922,0.674180327868852,0.682634730538922,"GBM"
"14","All",50,0.85,5014,160,0.835992023928215,0.84005833738454,0.835992023928215,0.671936758893281,0.678642714570858,0.678642714570858,0.668662674650699,0.673652694610778,0.675273088381331,0.673652694610778,"SVM"
"15","All",50,0.85,5014,170,0.792123629112662,0.792434046789448,0.792123629112662,0.699792960662526,0.674650698602794,0.674650698602794,0.710578842315369,0.692614770459082,0.686991869918699,0.692614770459082,"GBM"
