"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.8,15042,110,0.732424796410171,0.724550898203593,0.732304033582658,0.70983379501385,0.684702738810955,0.684702738810955,0.722700198544011,0.703789893617021,0.697041822509351,0.703701468677483,"GBM"
"2","All",50,0.8,15042,110,0.804221372777131,0.805128205128205,0.804262483507096,0.700479780671693,0.682698730794923,0.682698730794923,0.71078755790867,0.696808510638298,0.691474966170501,0.696743144351796,"SVM"
"3","All",50,0.8,15042,110,0.726630660573328,0.721705295212316,0.726623433111573,0.729197080291971,0.664670658682635,0.664670658682635,0.753324468085106,0.709012304622547,0.695440306300035,0.708997563383871,"GBM"
"4","All",50,0.8,15042,110,0.800581636892397,0.802664035520474,0.800586159186751,0.711760707002039,0.696606786427146,0.696606786427146,0.718085106382979,0.707349517791819,0.704102219233356,0.707345946405062,"SVM"
"5","All",50,0.8,15042,110,0.730452845866223,0.718500520652551,0.729979388497623,0.690021231422505,0.658338960162053,0.658338960162053,0.712975098296199,0.686065846358497,0.673807878369039,0.685657029229126,"GBM"
"6","All",50,0.8,15042,110,0.804237640216037,0.802149815250252,0.804260847625592,0.686247408431237,0.670492910195814,0.670492910195814,0.702490170380079,0.686730961090788,0.67827868852459,0.686491540287946,"SVM"
"7","All",50,0.8,15042,110,0.73192620907429,0.725400068096697,0.732008554430889,0.715107913669065,0.65871438038436,0.65871438038436,0.735823882588392,0.697140957446808,0.685753708175233,0.697269131486376,"GBM"
"8","All",50,0.8,15042,110,0.801562240319096,0.803521474411716,0.801538744635665,0.711404728789986,0.6779324055666,0.6779324055666,0.723148765843896,0.700465425531915,0.694265354597896,0.700540585705248,"SVM"
"9","All",50,0.8,15042,110,0.731593817517035,0.719374456993918,0.73116047612232,0.718795888399413,0.659259259259259,0.659259259259259,0.748522652659225,0.704454787234043,0.68774148226203,0.703890955959242,"GBM"
"10","All",50,0.8,15042,110,0.804803058002327,0.803084919104703,0.804821250530374,0.706258890469417,0.668686868686869,0.668686868686869,0.728824688115561,0.699135638297872,0.686959529574542,0.698755778401215,"SVM"
"11","All",50,0.8,15042,110,0.729100880837627,0.723915989159892,0.729037571367335,0.714383561643836,0.696261682242991,0.696261682242991,0.723841059602649,0.710106382978723,0.705206220419202,0.71005137092282,"GBM"
"12","All",50,0.8,15042,110,0.801312946651155,0.80231500620091,0.801345914437008,0.711631108052306,0.690253671562083,0.690253671562083,0.722516556291391,0.706449468085106,0.700779396814639,0.706385113926737,"SVM"
"13","All",50,0.8,15042,110,0.72502908426126,0.713034428930709,0.724762186038018,0.709766162310867,0.691225720026792,0.691225720026792,0.721452145214522,0.706449468085106,0.700373260943332,0.706338932620657,"GBM"
"14","All",50,0.8,15042,110,0.805550939006149,0.804609218436874,0.805558771276552,0.720246238030096,0.7052913596785,0.7052913596785,0.73003300330033,0.717752659574468,0.712690355329949,0.717662181489415,"SVM"
"15","All",50,0.8,15042,110,0.724470294972995,0.717354244800546,0.724417458498623,0.681058495821727,0.652,0.652,0.696084936960849,0.674093781177253,0.666212534059946,0.674042468480425,"GBM"
"16","All",50,0.8,15042,110,0.804154549231408,0.804738629773838,0.804165307470364,0.689419795221843,0.673333333333333,0.673333333333333,0.698075646980756,0.685733288992351,0.681281618887015,0.685704490157045,"SVM"
"17","All",50,0.8,15042,110,0.729017782948313,0.726998744244454,0.729214844846371,0.707835325365206,0.700394218134034,0.700394218134034,0.703903095558546,0.702127659574468,0.704095112285337,0.70214865684629,"GBM"
"18","All",50,0.8,15042,110,0.802725610769486,0.806425309849967,0.802611870617277,0.705961152042867,0.692509855453351,0.692509855453351,0.704576043068641,0.698470744680851,0.699170812603648,0.698542949260996,"SVM"
"19","All",50,0.8,15042,110,0.724304113003739,0.72400598902013,0.724362014144113,0.713025780189959,0.693271767810026,0.693271767810026,0.716297786720322,0.704689058862654,0.703010033444816,0.704784777265174,"GBM"
"20","All",50,0.8,15042,110,0.802492729538845,0.807545947696543,0.802331032801279,0.726662189388852,0.713720316622691,0.713720316622691,0.727028839704896,0.7203192550715,0.720133111480865,0.720374578163794,"SVM"
