"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.95,5014,100,0.830009970089731,0.83542471042471,0.830009970089731,0.711775043936731,0.808383233532934,0.808383233532934,0.672654690618762,0.740518962075848,0.757009345794392,0.740518962075848,"GBM"
"2","All",50,0.95,5014,100,0.847706879361914,0.855110267963007,0.847706879361914,0.746788990825688,0.812375249500998,0.812375249500998,0.724550898203593,0.768463073852295,0.778202676864245,0.768463073852295,"SVM"
"3","All",50,0.95,5014,120,0.837487537387837,0.842054263565892,0.837487537387837,0.718085106382979,0.808383233532934,0.808383233532934,0.682634730538922,0.745508982035928,0.76056338028169,0.745508982035928,"GBM"
"4","All",50,0.95,5014,120,0.850199401794616,0.857210738892849,0.850199401794616,0.739449541284404,0.80439121756487,0.80439121756487,0.716566866267465,0.760479041916168,0.770554493307839,0.760479041916168,"SVM"
"5","All",50,0.95,5014,140,0.831754735792622,0.836680377449794,0.831754735792622,0.708404802744425,0.82435129740519,0.82435129740519,0.660678642714571,0.74251497005988,0.761992619926199,0.74251497005988,"GBM"
"6","All",50,0.95,5014,140,0.858673978065803,0.865160523186683,0.858673978065803,0.742286751361162,0.816367265469062,0.816367265469062,0.716566866267465,0.766467065868264,0.777566539923954,0.766467065868264,"SVM"
"7","All",50,0.95,5014,160,0.839730807577268,0.843969910215967,0.839730807577268,0.698305084745763,0.822355289421158,0.822355289421158,0.644710578842315,0.733532934131736,0.755270394133822,0.733532934131736,"GBM"
"8","All",50,0.95,5014,160,0.858175473579262,0.864556058081409,0.858175473579262,0.741410488245931,0.818363273453094,0.818363273453094,0.714570858283433,0.766467065868264,0.777988614800759,0.766467065868263,"SVM"
"9","All",50,0.95,5014,180,0.84147557328016,0.846228239845261,0.841475573280159,0.719858156028369,0.810379241516966,0.810379241516966,0.684630738522954,0.74750499001996,0.762441314553991,0.74750499001996,"GBM"
"10","All",50,0.95,5014,180,0.864406779661017,0.870290891750119,0.864406779661017,0.743542435424354,0.80439121756487,0.80439121756487,0.722554890219561,0.763473053892216,0.772770853307766,0.763473053892216,"SVM"
"11","All",50,0.95,5014,200,0.838235294117647,0.842360942433811,0.838235294117647,0.700692041522491,0.808383233532934,0.808383233532934,0.654690618762475,0.731536926147705,0.750695088044486,0.731536926147705,"GBM"
"12","All",50,0.95,5014,200,0.871385842472582,0.876790830945559,0.871385842472582,0.749077490774908,0.810379241516966,0.810379241516966,0.728542914171657,0.769461077844311,0.778523489932886,0.769461077844311,"SVM"
"13","All",50,0.95,5014,220,0.833250249252243,0.837818181818182,0.833250249252243,0.698795180722892,0.810379241516966,0.810379241516966,0.650698602794411,0.730538922155689,0.750462107208873,0.730538922155689,"GBM"
"14","All",50,0.95,5014,220,0.873130608175474,0.878896026647633,0.873130608175473,0.746402877697842,0.828343313373254,0.828343313373254,0.718562874251497,0.773453093812375,0.785241248817408,0.773453093812375,"SVM"
"15","All",50,0.95,5014,240,0.840229312063809,0.844606060606061,0.840229312063808,0.712041884816754,0.81437125748503,0.81437125748503,0.67065868263473,0.74251497005988,0.759776536312849,0.74251497005988,"GBM"
