"","genre","vote","rating","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.8,1003,110,0.775840597758406,0.767441860465116,0.775503043100236,0.625,0.56701030927835,0.56701030927835,0.679611650485437,0.625,0.594594594594595,0.623310979881894,"GBM"
"2","All",50,0.8,1003,110,0.835616438356164,0.830769230769231,0.835598062352503,0.613636363636364,0.556701030927835,0.556701030927835,0.669902912621359,0.615,0.583783783783784,0.613301971774597,"SVM"
"3","All",50,0.8,1003,110,0.797011207970112,0.798516687268232,0.797058422058422,0.714285714285714,0.693069306930693,0.693069306930693,0.717171717171717,0.705,0.703517587939699,0.705120512051205,"GBM"
"4","All",50,0.8,1003,110,0.876712328767123,0.877323420074349,0.876808626808627,0.696078431372549,0.702970297029703,0.702970297029703,0.686868686868687,0.695,0.699507389162562,0.694919491949195,"SVM"
"5","All",50,0.8,1003,110,0.713574097135741,0.725536992840095,0.713055348721767,0.686274509803922,0.686274509803922,0.686274509803922,0.673469387755102,0.68,0.686274509803922,0.679871948779512,"GBM"
"6","All",50,0.8,1003,110,0.824408468244085,0.827838827838828,0.824301935964259,0.656565656565657,0.637254901960784,0.637254901960784,0.653061224489796,0.645,0.646766169154229,0.64515806322529,"SVM"
"7","All",50,0.8,1003,110,0.729763387297634,0.724269377382465,0.729631720663598,0.614678899082569,0.676767676767677,0.676767676767677,0.584158415841584,0.63,0.644230769230769,0.630463046304631,"GBM"
"8","All",50,0.8,1003,110,0.839352428393524,0.839352428393524,0.839457879912149,0.7,0.636363636363636,0.636363636363636,0.732673267326733,0.685,0.666666666666667,0.684518451845184,"SVM"
"9","All",50,0.8,1003,110,0.811955168119552,0.809583858764187,0.811908306966933,0.659340659340659,0.606060606060606,0.606060606060606,0.693069306930693,0.65,0.631578947368421,0.649564956495649,"GBM"
"10","All",50,0.8,1003,110,0.825653798256538,0.827160493827161,0.825792542961722,0.663157894736842,0.636363636363636,0.636363636363636,0.683168316831683,0.66,0.649484536082474,0.65976597659766,"SVM"
"11","All",50,0.8,1003,110,0.731008717310087,0.728643216080402,0.730988274706868,0.674157303370786,0.606060606060606,0.606060606060606,0.712871287128713,0.66,0.638297872340426,0.659465946594659,"GBM"
"12","All",50,0.8,1003,110,0.840597758405978,0.841584158415842,0.84071592530554,0.6,0.575757575757576,0.575757575757576,0.623762376237624,0.6,0.587628865979381,0.5997599759976,"SVM"
"13","All",50,0.8,1003,110,0.809464508094645,0.817204301075269,0.80895540926593,0.696428571428571,0.757281553398058,0.757281553398058,0.649484536082474,0.705,0.725581395348837,0.703383044740266,"GBM"
"14","All",50,0.8,1003,110,0.823163138231631,0.830952380952381,0.822543783380946,0.709677419354839,0.640776699029126,0.640776699029126,0.721649484536082,0.68,0.673469387755102,0.681213091782604,"SVM"
"15","All",50,0.8,1003,110,0.798507462686567,0.791237113402062,0.798165478312537,0.733333333333333,0.673469387755102,0.673469387755102,0.762376237623762,0.718592964824121,0.702127659574468,0.717922812689432,"GBM"
"16","All",50,0.8,1003,110,0.84452736318408,0.84197218710493,0.844474153297683,0.705882352941177,0.612244897959184,0.612244897959184,0.752475247524752,0.683417085427136,0.655737704918033,0.682360072741968,"SVM"
"17","All",50,0.8,1003,110,0.733499377334994,0.751162790697674,0.731998931982167,0.69811320754717,0.718446601941748,0.718446601941748,0.670103092783505,0.695,0.708133971291866,0.694274847362626,"GBM"
"18","All",50,0.8,1003,110,0.818181818181818,0.824519230769231,0.817850179451834,0.686274509803922,0.679611650485437,0.679611650485437,0.670103092783505,0.675,0.682926829268293,0.674857371634471,"SVM"
"19","All",50,0.8,1003,110,0.733830845771144,0.755148741418764,0.731686161776368,0.76,0.737864077669903,0.737864077669903,0.75,0.743718592964824,0.748768472906404,0.743932038834952,"GBM"
"20","All",50,0.8,1003,110,0.848258706467662,0.856807511737089,0.847207077716098,0.745098039215686,0.737864077669903,0.737864077669903,0.729166666666667,0.733668341708543,0.741463414634146,0.733515372168285,"SVM"
