"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"68","wv.568",0.18,0.59,4.75,2.72,0.95,3.35,1.45,2.38,1,1.93
"69","wv.44",4.54,0.22,6.19,3.1,1.52,0.1,0.54,0.28,0.91,1.93
"70","wv.324",2.86,0.43,0.64,7.59,1.78,0.32,2.04,0.42,1.19,1.92
"71","wv.601",4.07,0.37,0.86,6.57,1.46,0.97,1.86,0.35,0.72,1.91
"72","wv.71",1.12,0.3,0.33,9.88,2.3,0.68,0.67,0.73,1.2,1.91
"73","n.sentence",2.87,0.84,6.11,1.83,2.87,0,1.84,0.38,0.35,1.9
"74","wv.883",3.97,0.03,0.42,0.96,0.1,1.37,0.61,8.7,0.72,1.88
"75","liwc.Dic",9.87,0.12,0.46,2.97,1.3,0.21,0.11,1.17,0.46,1.85
"76","wv.328",2.56,0.07,1.67,1.41,8.04,1.2,0.65,0,0.99,1.84
"77","wv.950",0.44,0.22,0.2,6.85,2.04,0.15,1.9,3.99,0.47,1.81
"78","wv.313",0.3,0.05,1.87,1.36,4.17,3.81,0.61,0.53,3.37,1.79
"79","wv.935",0.64,1.02,3.44,5.54,2.84,0.23,0.53,1.45,0.42,1.79
"80","wv.119",2.56,0.17,2.8,0.81,6.03,1.05,1.36,0.78,0.51,1.79
"81","wv.944",0.91,0.05,0.23,11.68,1.09,0.29,0.79,0.67,0.3,1.78
"82","n.word",1.61,0.98,4.17,1.09,5.28,0.37,0.69,1.25,0.36,1.76
"83","wv.396",5.77,0.04,4.21,3.71,0.83,0.29,0.64,0,0.23,1.75
"84","wv.517",8.85,0.32,0.25,1.23,1.82,0.16,1.6,0.48,1.06,1.75
"85","wv.904",2.86,0.05,2.77,2.62,2.75,0.21,0.86,2.75,0.83,1.74
"86","wv.498",0.14,0.09,0.64,8.18,0.68,0.47,3.73,1.7,0.07,1.74
"87","wv.837",1.72,1.46,1.05,9.37,0.42,0.42,0.4,0.44,0.32,1.73
"88","wv.413",7.44,0.16,0.45,1.23,2.89,0.14,1.05,1.68,0.52,1.73
"89","wv.232",5.14,0.12,0.73,6.03,2.21,0.51,0.64,0.08,0,1.72
"90","wv.158",1.45,0.11,0.79,7.37,1.34,0.2,0.21,3.5,0.37,1.7
"91","wv.628",0.71,0.4,4.76,5.54,1.46,0.26,0.18,0.78,1.11,1.69
"92","wv.27",0.68,0.07,0.72,1.59,9.75,0.14,0,0.63,1.56,1.68
"93","wv.840",7.53,0.11,0.12,1.71,0,2.33,0.39,2.53,0.41,1.68
"94","wv.521",0.89,0.22,2.66,7.25,1.03,0.4,1.22,1.12,0.34,1.68
"95","wv.564",5.24,0.47,0.58,1.75,2.61,0.95,1.34,0.6,1.46,1.67
"96","wv.985",2.45,0.32,1.16,2.47,2.16,0.15,1.25,0.64,4.4,1.67
"97","wv.524",5.4,0.19,0,2.1,5.34,0.07,0.36,1.1,0.42,1.66
"98","wv.190",0.66,0.07,0.61,0.96,1.67,2.88,1.24,5.92,0.9,1.66
"99","wv.225",3.51,0.06,1.16,0.26,1.08,0.5,0.28,1.46,6.51,1.65
"100","wv.889",1.62,0.12,0.12,4.11,4.79,0.41,0.89,0.42,2.3,1.64
"101","wv.751",1.84,0.02,0.9,2.32,2.96,0.51,1.4,3.23,1.62,1.64
"102","wv.138",0.09,0.16,0.34,10.76,0.66,0.26,0.25,1.88,0.35,1.64
"103","wv.349",0.28,0.19,0.41,4.93,3.67,1.16,0.12,0.38,3.45,1.62
"104","wv.627",0.99,0.74,9.31,1.08,0.15,0.36,0.92,0.08,0.91,1.62
"105","wv.463",0.56,0.17,7.33,2.98,1.01,1.2,0.08,0.99,0.25,1.62
"106","wv.766",0.38,0.05,0.66,6.92,1.75,0.89,0.26,2.59,0.99,1.61
"107","wv.469",5.21,0.14,0.13,2.29,4.24,0.45,0.65,0.59,0.79,1.61
"108","wv.342",1.23,0.5,0.47,4.29,0.48,0.14,2.41,0.51,4.5,1.61
"109","wv.984",1.94,0.15,0,3.89,2.37,0.33,5.33,0.24,0.13,1.6
"110","wv.954",2.73,0.12,3.49,0.31,1.16,0.28,0.86,4.86,0.61,1.6
"111","wv.465",3.87,0.06,0.6,1.68,1.78,0,0.1,3.88,2.28,1.58
"112","wv.482",3.99,1.3,0,3.82,0.82,0.19,1.2,1.76,1.04,1.57
"113","wv.617",0.17,0.23,0.61,3.61,6.23,0.57,1.51,0.93,0.31,1.57
"114","wv.374",4.48,0.67,0.73,0,3.01,2.76,1.44,0.77,0.18,1.56
