"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"291","wv.449",0.28,0.32,0.63,1.59,1.46,0.09,0.53,1.75,3.43,1.12
"292","wv.739",2.75,0.12,0.24,1.67,0.25,0.7,2.86,0.51,0.9,1.11
"293","wv.284",1.47,0.05,0.4,3.94,1.19,0.92,1.16,0.71,0.13,1.11
"294","wv.240",0.69,0.03,0.88,2,1.32,0.56,0.74,3.53,0.26,1.11
"295","wv.55",0.31,0.23,0.28,1.97,1.99,3.01,0.29,0.93,0.96,1.11
"296","wv.690",0.21,0.08,1.85,2.24,4.24,0.12,0.51,0.5,0.16,1.1
"297","wv.131",0.37,0.11,2.4,1.59,0.91,0.49,0.28,3.13,0.66,1.1
"298","wv.325",1.01,0.07,1.1,4.76,0.64,0.05,0.37,1.12,0.75,1.1
"299","wv.961",0.31,0.32,0.21,2.71,3.31,1.37,0.61,0.6,0.48,1.1
"300","wv.43",0.71,0.07,1.29,0.86,4.79,0.72,0.18,1.03,0.19,1.09
"301","wv.408",2.28,0.03,1.54,1.85,1.05,1.69,0.73,0.08,0.58,1.09
"302","wv.93",0,0.16,0.26,4.77,1.13,0.04,1.21,0.21,2.04,1.09
"303","wv.949",4.07,0.15,1.43,0.9,0,0.51,1.02,1.08,0.68,1.09
"304","wv.538",1.54,0.89,1.09,1.74,0.71,0.47,0.7,2.48,0.15,1.09
"305","wv.368",1.24,0.14,0.49,4.92,1.62,0.08,0.36,0.51,0.38,1.08
"306","wv.122",1.26,0.03,0.91,2.98,1.88,1.86,0.11,0.06,0.63,1.08
"307","wv.16",0.38,0.19,0.49,2.68,1.55,0.19,1.04,2.96,0.23,1.08
"308","wv.778",0,0.06,0,0.39,3.8,1.42,1.63,0.26,2.15,1.08
"309","wv.304",0.11,0.26,1.09,0.87,1.38,0.09,0.17,5.39,0.31,1.07
"310","wv.415",1.66,0.05,1.17,3.74,0.48,0.27,0.35,1.71,0.18,1.07
"311","wv.121",0.83,0.03,0.54,1.29,0.37,5.01,1.27,0,0.32,1.07
"312","wv.387",0.62,0.03,0.2,1.57,0.48,0.38,0.34,3.23,2.82,1.07
"313","wv.811",0.26,0.1,1.09,3.02,1.01,0.41,0.4,3.25,0.08,1.07
"314","liwc.Clout",0.43,0.18,0.26,1.36,3.67,0.5,0.43,1.77,0.91,1.06
"315","wv.237",0.67,0.36,1.67,0.27,2.12,0.16,1.76,1.66,0.84,1.06
"316","liwc.AllPunc",0.28,1.19,0.86,1.32,1.59,0.24,0.71,2.59,0.77,1.06
"317","wv.756",0.32,0.15,0.89,0.88,0.44,0.13,0.99,5.26,0.51,1.06
"318","liwc.function",2.31,0.02,0,5.55,0.67,0.31,0.09,0.5,0,1.05
"319","wv.749",0.7,0.14,0.43,2.2,1.05,1.24,0.53,2.9,0.3,1.05
"320","wv.394",1.42,0.11,0.69,3.34,0.64,0.26,0.44,2.53,0,1.05
"321","wv.118",0.24,0.09,0.53,6.9,0,0.37,0.47,0.29,0.55,1.05
"322","wv.452",1.55,0.04,2.17,0.24,2.19,0,0,0.86,2.36,1.05
"323","wv.569",0.8,0.19,2.46,2.34,0,0.3,2.02,0.67,0.62,1.04
"324","wv.26",2.93,0.06,0.96,2.52,0.14,0.27,0.78,1.59,0.11,1.04
"325","wv.215",0.27,0.14,2.78,0.48,2.93,0.21,1.08,0.66,0.81,1.04
"326","wv.540",0.58,0.02,0.93,5.92,0.17,0.36,0.23,0.21,0.95,1.04
"327","wv.8",0.5,0.18,2.05,3.01,1.13,1.02,0.47,0.71,0.3,1.04
"328","wv.727",0.45,0.02,0.97,6.92,0.23,0.25,0.08,0.26,0.06,1.03
"329","wv.301",0.76,0.14,0.64,0.91,2.71,0.11,1.06,1.25,1.65,1.03
"330","wv.409",0.47,0.49,0.41,1.96,2.71,2.11,0.55,0.34,0.14,1.02
"331","wv.583",1.24,0.1,0.68,1.99,2.32,1.69,0.8,0.07,0.31,1.02
"332","wv.370",0.77,0.18,0.87,0.92,0,0.46,0.2,4.93,0.87,1.02
"333","wv.635",1.76,0.47,1.42,1.26,0.56,0.21,0.7,0.56,2.21,1.02
"334","wv.180",1,0.32,0.35,2.09,2.37,0.52,2.24,0.2,0.05,1.02
"335","wv.714",0.97,0,1.28,2.81,1.03,0.58,0.49,1.24,0.74,1.02
"336","wv.999",0.16,0.02,0.09,4.54,1.7,0.46,0.33,0.43,1.43,1.02
"337","wv.235",0.7,0,0.48,0.35,1.96,0.43,0.92,2.17,2.13,1.02
"338","wv.416",1.62,0,0.77,0.81,0.47,1.72,0.37,2.02,1.42,1.02
"339","wv.881",0.18,0.13,1.31,1.46,0.41,0.35,0.18,2.54,2.59,1.02
"340","wv.7",0.82,0.1,0.55,1.09,0.6,0.67,0.79,0,4.56,1.02
"341","wv.637",0.28,0.33,1.1,2.91,1.43,0.21,1.31,0.2,1.37,1.02
"342","wv.503",0.29,0.91,0.64,1.75,0.62,0.54,0.92,3.1,0.34,1.01
"343","wv.653",0.54,0.19,0.4,1.27,1.2,0.04,0.4,0.73,4.32,1.01
"344","wv.706",0.14,0.07,4.38,0.93,0.88,0.34,0.92,0.19,1.24,1.01
"345","wv.33",1.84,0.17,1.43,0.24,2.32,0.28,0.25,1.75,0.81,1.01
"346","wv.927",1.67,0.11,0.77,0.81,2.15,0.2,0.67,1.91,0.84,1.01
"347","wv.915",3.36,0.04,0.27,3.7,0.79,0.28,0.44,0,0.22,1.01
"348","wv.291",3.36,0.06,1.49,0.68,0.83,0.42,1.09,0.13,1,1.01
"349","wv.30",1.09,0.02,0.81,0.83,2.26,1.6,1.77,0,0.61,1
"350","wv.90",0.25,0.03,4.21,1.53,0.66,0.07,0.23,0.83,1.22,1
"351","wv.242",0.89,0.13,1.14,1.92,1.07,0.34,1.92,0.83,0.78,1
"352","wv.54",0.24,0.38,0.13,2.29,2.89,0.27,0.51,1.46,0.8,1
"353","wv.259",0.43,0.67,0.23,1.78,1.51,0.74,1.14,1.88,0.65,1
"354","wv.306",0.2,0.46,0.83,2.08,0.6,0.37,0.59,2.65,1.21,1
"355","wv.781",0.31,0.21,1.01,1.54,3.56,0.04,1.01,0.96,0.28,0.99
"356","wv.838",0.2,0.11,0.28,4.27,1.79,0.57,1.31,0.1,0.25,0.99
"357","wv.689",0.71,0.02,0.3,3.13,2.54,0.47,0.7,0.19,0.88,0.99
"358","wv.221",2.27,0.23,3.38,0,0.32,0.52,0.47,0.26,1.33,0.98
"359","wv.579",3.22,0.07,0.42,2.57,0.49,1.57,0.25,0,0.2,0.98
"360","wv.154",0,0.46,1.01,1.31,3.82,0.99,0.32,0.19,0.71,0.98
"361","wv.542",1.52,0.08,2.03,1.14,2.62,0.84,0.23,0.11,0.12,0.97
"362","wv.385",1.2,0.02,0.6,3.96,0.46,0.07,1.24,0.29,0.87,0.97
"363","wv.760",0.14,0.23,0.48,1.3,2.58,0.17,1.63,0.47,1.74,0.97
"364","wv.673",4.26,0.52,0.75,1.08,0.56,0.34,0.39,0.77,0.09,0.97
"365","wv.157",0.24,0.44,0.21,4.35,0.66,0.31,0.67,1.46,0.42,0.97
"366","wv.948",2.45,0.09,0.46,1.27,1.99,0.2,0.69,0.96,0.58,0.97
"367","wv.668",0.83,0.19,0.38,2.09,1.89,0.06,0.64,2.29,0.37,0.97
"368","wv.106",0.79,0.11,0.57,1.2,1.75,0.58,0.49,1.7,1.41,0.96
"369","wv.531",0.31,0.06,0.59,1.11,0.36,0.73,0.2,5.12,0.17,0.96
"370","wv.901",0.71,0.36,0.55,5.42,0.45,0.13,0.6,0.16,0.26,0.96
"371","wv.676",0.19,0.05,1.87,1.68,1.69,0.81,2.2,0.09,0.09,0.96
"372","wv.691",1.64,0.08,0.88,0.6,2.53,0.44,1.2,0.53,0.77,0.96
"373","wv.321",0.36,0.08,0.3,0.29,5.44,0.79,0.53,0.19,0.66,0.96
"374","wv.861",0.66,0.35,2.26,1.08,2.49,0.23,0.59,0.35,0.51,0.95
"375","wv.199",0.33,0.07,0.73,2.51,1.2,1.43,0.35,0,1.95,0.95
"376","wv.995",0.35,0.33,0.14,2.38,0.65,2.06,0.16,1.58,0.88,0.95
"377","wv.716",0.59,0.03,4.75,0,0.17,2.34,0.41,0.11,0.16,0.95
"378","wv.354",0.54,0.34,1.84,1.59,2.77,0.26,0.25,0.52,0.4,0.95
"379","wv.153",0.33,0.49,0.29,0.81,0.22,0.15,0.49,5.46,0.2,0.94
"380","wv.18",1.38,0.19,0.29,0.43,0.47,0.23,0.42,3.32,1.69,0.94
"381","wv.805",0.28,0.02,0,1.74,4.12,1.17,0.26,0.66,0.22,0.94
"382","wv.52",2.04,0.06,0.82,1.6,0.28,0.12,0.73,2.6,0.24,0.94
"383","wv.959",0.43,0.15,0.36,0.54,4.11,1.08,1.22,0.43,0.08,0.93
"384","wv.391",2.34,0.11,0.39,0.22,0.5,2.04,1.27,0.75,0.77,0.93
"385","wv.630",1.47,0.16,1.12,1.2,2.03,0.88,0.39,0.15,0.96,0.93
"386","wv.973",3.51,0.09,1.14,1.03,0.72,0.07,0.92,0.11,0.8,0.93
"387","wv.788",0.18,0.1,0.54,1.99,2.6,0.55,0.6,1.73,0.1,0.93
"388","wv.451",3.51,0.3,0.72,0.56,0.43,0.75,0.68,0.98,0.41,0.93
"389","wv.79",0.2,0.02,1.05,3.61,2.14,0.09,0.34,0.64,0.27,0.93
"390","wv.638",1.33,0.06,0.24,0.79,1,0.21,0.76,3.1,0.89,0.93
"391","wv.763",1.47,0.06,0.49,3.07,0.92,0.69,0.88,0.39,0.44,0.93
"392","wv.759",0.17,0.1,1.43,0.34,1.19,0.8,0.99,0.34,2.9,0.92
"393","wv.252",0.28,0.38,3.38,1.44,0.75,0.05,1.04,0.1,0.74,0.91
"394","wv.208",0.92,0.37,0.64,0.69,0.54,0.43,0.67,1.24,2.71,0.91
"395","wv.803",0.28,0.47,0.85,2.95,1.17,0.42,0.55,1.25,0.23,0.91
"396","wv.784",0.21,0.15,0.91,0.74,2.52,0.21,0.96,0.16,2.32,0.91
"397","wv.92",0.53,0.12,0.26,2.7,0.92,0.76,0.43,1.56,0.78,0.9
"398","wv.222",0.76,0.06,0.88,0.44,0.25,0.34,1.55,3.26,0.52,0.9
"399","wv.877",1.04,0,0.27,3.81,1.12,0.15,0.2,1.46,0.07,0.9
"400","wv.217",0.66,0.21,1.31,1.23,1.02,1.09,0.25,1.21,1.05,0.89
"401","wv.850",2.39,0.4,0.94,1.55,1.69,0.16,0.09,0.23,0.55,0.89
"402","wv.474",0.17,0.11,0.17,5.43,0.83,0.23,0.17,0.48,0.36,0.88
"403","wv.330",0.21,0.11,0.47,1.54,0.93,0.48,0.27,3.78,0.13,0.88
"404","wv.813",2.1,0.33,0.59,1.71,0.42,0.49,0.92,0.81,0.57,0.88
"405","wv.852",0.7,0.17,0.45,4.24,0,1.2,0.68,0.26,0.25,0.88
"406","wv.348",0.09,0.09,1.23,1.71,0.75,0.17,0.47,2.59,0.83,0.88
"407","wv.479",0.88,0.37,0.7,0,1.75,2.64,0.33,0,1.15,0.87
"408","wv.419",0.27,0.09,1.71,1.16,2.09,1.27,0.14,0.59,0.47,0.87
"409","wv.863",0.71,0.27,0.45,0.58,1.21,0.19,0.48,1.99,1.83,0.86
"410","wv.566",0.94,0.37,1.33,3.27,0.35,0.55,0.07,0.23,0.61,0.86
"411","wv.363",0.72,0.06,0.47,2.41,0.2,0.11,0.81,2.52,0.43,0.86
"412","wv.563",1.07,0.03,0.17,0.74,1.22,2.51,0.74,1,0.28,0.86
"413","wv.791",0.54,0.08,1.2,1.6,2.31,0,0.98,1,0,0.86
"414","wv.586",0.9,0.65,0.35,2.49,0.41,0.35,1.67,0.25,0.65,0.86
"415","wv.389",1.07,0.18,0.53,0.58,0.49,0.71,0.44,0.8,2.94,0.86
"416","wv.17",0.47,0.05,3.22,1.56,1.26,0.12,0.95,0.08,0,0.86
"417","wv.74",0.8,0.08,0.36,0.76,0.52,0.55,1.22,0,3.48,0.86
"418","wv.334",0.34,0.87,0.21,0.43,1.5,0,0.61,3.44,0.31,0.86
"419","wv.205",0.88,0.05,0.42,2.61,1.14,0.21,0,0.26,2.2,0.86
"420","wv.377",0.67,0.06,0.87,2.41,0.41,0.16,1.69,0.86,0.64,0.86
"421","wv.224",2.31,1.26,0.55,0,1.23,0.7,0.84,0.47,0.41,0.86
"422","wv.35",0.72,0.1,0.89,1.25,0.76,0.19,2.95,0.61,0.16,0.85
"423","wv.453",1.12,0,0.27,1.8,1.59,0.34,1.68,0.76,0.07,0.85
"424","wv.132",1.09,0.16,1.49,1.02,1.23,0.46,0.81,0.64,0.74,0.85
"425","wv.550",0.14,0.09,1.3,3.42,1.17,0.9,0,0,0.63,0.85
"426","wv.919",0.74,0.87,0,4.4,0.68,0.63,0.05,0.21,0.07,0.85
"427","wv.631",0.18,0.18,0.3,0.19,1.89,0.4,0.49,2.99,1.06,0.85
"428","wv.580",0.2,0.08,0.19,1.17,0.38,0.63,1.37,2.72,0.95,0.85
"429","wv.761",0.28,0.24,0.11,1.27,3.05,0.27,0.13,1.22,1.03,0.84
"430","wv.197",2.59,0.02,0.45,0.22,1.55,1.15,0.31,0.83,0.48,0.84
"431","wv.809",0.22,0.16,4.45,0.69,1.23,0.13,0.37,0.09,0.19,0.84
"432","wv.145",0.52,0.46,0.29,1.17,1.48,1.68,0.06,0.24,1.66,0.84
"433","wv.654",1.35,0.16,0.63,0.55,2.2,0.52,0.29,1.36,0.46,0.84
"434","wv.799",0.45,0.32,0.11,2.52,0.2,1.01,1.59,0,1.4,0.84
"435","wv.156",0.41,0.12,0.26,4.23,0.18,0.17,0.4,1.29,0.46,0.84
"436","wv.281",0,0.08,1.24,2.38,0.9,1.05,0.28,0.88,0.74,0.84
"437","wv.663",0.32,0.02,0.36,2.2,0.4,0.14,0.19,3.53,0.38,0.84
"438","wv.932",0.74,0.08,0.33,2,0.92,0.67,1.36,0.64,0.81,0.84
"439","wv.658",1.08,0.84,0.82,1.72,1.89,0.17,0.33,0.33,0.33,0.83
"440","wv.821",1.55,0.03,0.2,0.78,2.37,0.19,0.83,1.22,0.27,0.83
"441","wv.150",0.23,0.33,0.52,0,2.47,0,1.19,1.82,0.94,0.83
"442","wv.182",0.52,0.06,1.33,2.02,1.53,0.3,0.73,0.72,0.28,0.83
"443","wv.65",1.57,0.72,0.38,2.24,0.89,0.5,0.22,0.16,0.83,0.83
"444","wv.746",0.56,0.07,0.72,2.79,0.91,0.24,0.47,0.53,1.19,0.83
"445","wv.263",0.14,0.05,0.14,1.92,1.2,0.38,2.21,0.5,0.91,0.83
"446","wv.942",0.33,0.27,0.86,1.13,1.01,0.65,0.68,1.53,0.95,0.82
"447","wv.776",1.12,0.09,0.37,0,1.07,0.38,0.53,0.8,3.02,0.82
"448","wv.458",0.2,0.66,0,3.87,0.47,0.04,1.89,0,0.25,0.82
"449","wv.854",3.06,0,0.43,0.43,1.04,0.22,0.26,1.12,0.8,0.82
"450","wv.660",0.49,0.05,0.81,0.65,0.16,1.37,1.67,1.72,0.48,0.82
"451","wv.473",0.26,0.11,0.57,3.59,0.7,0.84,0.47,0.09,0.79,0.82
"452","wv.957",0.82,0.04,0.83,1.96,0.42,1.52,0.4,0.72,0.69,0.82
"453","wv.918",1.51,0.08,0.87,1.59,0.6,0.28,0.61,0.34,1.5,0.82
"454","wv.963",2.31,0.28,0.27,1.05,1,0.43,1.03,0.85,0.13,0.82
"455","wv.555",0.58,0.03,0.93,2.74,0.16,0.16,0.72,0.11,1.96,0.82
"456","wv.72",1.26,0.08,2.39,0.86,1.79,0.34,0.16,0,0.42,0.81
"457","wv.952",0.24,0.14,1.12,0.4,0.93,0.47,0.73,2.31,0.92,0.81
"458","wv.790",1.28,0.05,0.17,2.1,0.34,0.32,0.6,0.78,1.64,0.81
"459","wv.204",0,0.45,1.31,1.91,0.42,0.34,2.42,0,0.43,0.81
"460","wv.562",1.34,0.03,2.32,1.39,0.13,0.05,0.59,0.33,1.07,0.81
"461","wv.536",0.38,0.05,0.61,0.76,1.12,0.17,0.84,2.99,0.4,0.81
"462","wv.793",0.52,0.05,1.63,0.91,1.62,0.31,0.81,0.91,0.44,0.8
"463","wv.238",0.52,0.32,0.61,1.06,1.4,1.21,0.17,1.25,0.69,0.8
"464","wv.875",1.29,0.17,1.02,1.38,0.44,1.43,0.67,0.07,0.76,0.8
"465","wv.534",0.39,0.17,1.71,1.73,1.95,0.55,0.47,0.24,0,0.8
"466","wv.455",0.67,0.33,1.08,1.05,0.36,1.12,1.09,0.71,0.8,0.8
"467","wv.243",1.21,0.11,0.47,1.71,0.55,1.36,1.08,0.1,0.58,0.8
"468","wv.502",1.58,0.06,0.76,2.38,0.19,0.36,0.83,0.37,0.71,0.8
"469","wv.447",0.76,0.33,0.35,2.57,0.72,0.45,0.21,0.81,1.03,0.8
"470","wv.436",0.17,0.09,0.78,2.61,0.2,1.13,0.55,0.9,0.71,0.79
"471","wv.910",0.1,0.2,0.22,1.53,1.59,0.46,0.19,1.3,1.52,0.79
"472","wv.657",2.75,2.33,0.61,0,0.52,0.14,0.25,0.42,0.1,0.79
"473","wv.960",0.59,0.43,1.26,0.18,0.68,1.01,0.79,0.32,1.83,0.79
"474","wv.651",1.97,0.25,0.3,1.37,0.6,1.18,0.37,0.61,0.43,0.79
"475","wv.70",0.54,0.17,0,1.99,0.73,1.43,1.44,0.5,0.27,0.79
"476","wv.123",0.91,0.22,0.95,1.11,0.85,0.53,0.25,0.72,1.59,0.79
"477","wv.736",0.43,0.33,1.37,1.45,1.07,0.17,1.73,0.42,0.05,0.78
"478","wv.589",1.23,0.04,0,3.73,0.25,0.42,0.92,0,0.41,0.78
"479","wv.970",0.08,0.09,0.97,0.72,1.29,0.42,0.71,0.52,2.13,0.77
"480","wv.417",0.28,0.1,2.3,1.64,0.28,0.57,0.87,0.77,0.1,0.77
"481","wv.819",0.76,0.06,0,1.3,0.56,0.42,0.49,2.72,0.58,0.77
"482","wv.343",0.72,0.08,0,3.37,1.21,0.49,0.24,0.22,0.57,0.77
"483","wv.662",0.25,0.34,0.26,3.93,0.33,0.36,0.27,0.44,0.72,0.77
"484","wv.768",2.93,0.05,0.68,0.93,0.09,0.53,0.99,0.45,0.32,0.77
"485","wv.241",0.97,0.38,0.82,1.96,0.42,0.4,0.2,0.05,1.74,0.77
"486","wv.853",0.84,0.06,0.43,2.36,2.16,0.24,0.41,0,0.36,0.76
"487","wv.294",1.3,0.41,0.89,0,0.99,0.42,0.5,0.36,1.96,0.76
"488","wv.437",0.6,0.02,0.09,0.39,0.35,0.76,0.24,1.11,3.32,0.76
"489","wv.375",0.07,0.05,0.69,1.91,2.19,0.07,1.17,0.26,0.44,0.76
"490","wv.773",2.45,0.16,0.48,1.29,0.6,0.3,0.86,0.5,0.17,0.76
"491","wv.643",0.66,0.08,0.84,1.51,1.97,0.17,0.53,0.6,0.52,0.76
"492","wv.268",0,0.12,1.43,2.47,0.76,1.06,0.18,0.26,0.58,0.76
"493","wv.671",0.97,0.21,0.66,1.65,0.27,1.15,0.41,1.29,0.12,0.75
"494","wv.262",1.97,0.04,0.21,1.33,1.96,0.42,0.06,0.33,0.42,0.75
"495","wv.152",1.51,0.04,1.16,0.87,0.99,0.16,0.25,0.32,1.44,0.75
"496","wv.251",0.44,0.05,1.17,1.36,1.97,0.43,0.37,0.51,0.49,0.75
"497","wv.855",0.63,0.01,1.63,2.09,0.45,0.27,1.4,0.1,0.2,0.75
"498","wv.987",0.76,0.12,0,1.97,0.92,0.23,0.26,0.38,2.09,0.75
"499","wv.130",0.36,0.1,1.17,0.28,1.3,0.72,0.53,1.79,0.49,0.75
"500","wv.526",0.53,0.48,0.68,0.45,0.58,1.35,0.95,0.17,1.5,0.74
"501","wv.827",0.52,0.09,2,0.87,1.99,0.67,0.35,0,0.21,0.74
"502","wv.127",3.07,0.07,0.25,1.14,0.69,0.19,0.07,0.92,0.28,0.74
"503","wv.825",1.15,0.99,0.96,0.73,1.51,0.18,0.62,0,0.53,0.74
"504","wv.520",0.21,0.12,1.05,0.87,1.77,0.05,0.66,0.97,0.93,0.74
"505","wv.462",2.45,0.08,0.23,1.14,0.67,0.62,0,0,1.49,0.74
"506","wv.598",0.52,0.45,1.47,1.68,0.83,0,0.51,0.97,0.13,0.73
"507","wv.159",0.72,0.17,0.89,0,0.69,0.73,0.13,0.58,2.62,0.73
"508","wv.782",0.31,0.24,0.59,0.8,0.34,2.29,1.15,0.62,0.23,0.73
"509","wv.269",1.04,0.19,0.29,1.38,1.7,0.28,0.44,0.67,0.55,0.73
"510","wv.194",0.1,0,0.91,3.67,0.58,0.34,0.4,0.23,0.36,0.73
"511","wv.219",0.27,0.11,0.34,3.34,0.27,0.53,0.24,0.71,0.68,0.72
"512","wv.951",0.15,0.22,0.21,1.67,2.26,0.41,0.79,0.7,0.1,0.72
"513","wv.308",0.85,0.12,1.01,1.55,1.29,0.29,0.59,0.49,0.29,0.72
"514","wv.738",0.82,0.15,0.48,1.16,1.07,0.46,0.52,1.09,0.7,0.72
"515","wv.702",0.76,0.33,1.15,0.7,0.51,0.09,1.92,0.39,0.6,0.72
"516","wv.140",0.31,0.44,0.31,1.11,0.2,0.62,0.92,1.89,0.67,0.72
"517","liwc.Sixltr",1.97,0.2,0.13,1.01,0.94,0,1.43,0.66,0.14,0.72
"518","wv.356",1.18,0.13,1.05,1.47,0.6,0.28,0.48,0.21,1.03,0.71
"519","wv.556",0.66,0.43,0.21,0.23,0.64,0.82,0.4,1.91,1.12,0.71
"520","wv.198",1.66,0.38,0.52,1.5,0.19,0.35,0.6,0.51,0.69,0.71
"521","wv.378",0.23,0.47,0,0.46,1.19,1.39,0.13,1.22,1.28,0.71
"522","wv.254",1.32,0.13,1.48,1.23,0.71,0.08,0.32,0.49,0.67,0.71
"523","wv.764",0.35,0.09,0.72,2.43,0.44,0.41,1.4,0.16,0.36,0.71
"524","wv.577",0.54,0.94,0.27,0,1.44,1.52,0.17,1.37,0.18,0.71
"525","wv.399",0.63,0.03,1.54,1.17,2.37,0.17,0.21,0.14,0.16,0.71
"526","wv.457",2.05,0.34,0.29,0.31,0.44,0.05,1.57,0.75,0.62,0.71
"527","wv.608",0.52,0.21,0.13,1.14,1.26,0.29,0.71,1.84,0.28,0.71
"528","wv.6",0.2,0.09,0.29,0.49,1.65,0.29,1.3,0.43,1.68,0.71
"529","wv.834",0.71,0.21,1.38,0.93,0.67,0.37,0.2,1.43,0.4,0.7
"530","wv.101",1.8,0.07,0.16,0.89,0.39,0.54,0.55,0.84,1.06,0.7
"531","wv.163",0.33,0.42,0.31,2.85,0.24,1.04,0.42,0.6,0.12,0.7
"532","wv.316",0.35,0.08,1.89,1.67,0.34,0.14,0.28,0.82,0.72,0.7
"533","wv.929",0.07,0.18,0.87,1,1.65,0.45,0.3,1.48,0.22,0.69
"534","wv.10",0.48,0.06,0.64,1.06,1.08,0.66,0.4,0,1.81,0.69
"535","wv.812",0.26,0.08,0.25,2.57,0.53,0.67,0.25,1.32,0.32,0.69
"536","wv.116",0.54,0.04,1.9,0.22,1.02,0.86,0.98,0.19,0.45,0.69
"537","wv.787",1.31,0.14,0.45,0.68,0.75,0.52,0.8,0.14,1.31,0.68
"538","wv.171",0.8,0.04,0.34,1.17,1.46,0.53,0.3,0,1.52,0.68
"539","wv.947",0.27,0.14,0,4.48,0.1,0.09,0.86,0.14,0.06,0.68
"540","wv.709",0.08,0.02,0.5,1.88,0.45,0.14,1.93,0.41,0.75,0.68
"541","wv.120",0.1,0.22,0.29,1.27,0.82,0.13,0.72,2.39,0.17,0.68
"542","wv.874",0.15,0.02,0.27,1.17,1.86,1.98,0.12,0.19,0.37,0.68
"543","wv.958",0.24,0.17,0.59,1.98,0.87,0.04,0,0.47,1.7,0.67
"544","wv.846",1.12,0.07,0.75,0.32,0.64,0.72,0.63,1.67,0.11,0.67
"545","wv.610",0.2,1.46,0.16,1.83,0.44,0.79,0.34,0.46,0.33,0.67
"546","wv.623",0.89,0.42,0,1.35,0.32,0.35,1.2,1.19,0.31,0.67
"547","wv.406",0.27,0.14,0.94,1.08,0.81,0.06,0.58,0.38,1.74,0.67
"548","liwc.negate",0.65,0.13,1.31,0.76,1.47,0.18,0.38,0.73,0.29,0.66
"549","wv.296",0.54,0.07,0.44,0.6,0,0.76,0.89,1.91,0.75,0.66
"550","wv.704",0.09,0.28,0.19,1.27,0.93,0.46,1.64,0.91,0.16,0.66
"551","wv.732",2.05,0.09,0.38,0.47,0.29,0.5,0.56,0.21,1.43,0.66
"552","wv.464",1.52,0.1,0.48,1.23,0.48,0.39,0.87,0.5,0.33,0.66
"553","wv.86",0.86,0.44,1.43,0.91,0.44,0.68,0.1,0.59,0.45,0.66
"554","liwc.WPS",0.18,0.06,1.59,1.73,0.6,0.45,0.61,0.67,0.07,0.66
"555","wv.640",1.07,0.77,0.82,0.58,1.14,0.49,0.07,0.36,0.61,0.66
"556","wv.107",0.66,0.06,0.49,0.85,1.2,1.53,0.61,0.07,0.35,0.65
"557","wv.641",0.47,0.05,0.5,3.09,0.68,0.58,0.25,0,0.2,0.65
"558","wv.528",0.27,0.23,0.17,0.27,1.02,0.5,2.92,0.24,0.19,0.65
"559","wv.340",0.09,0.2,0.39,0.42,0.29,0.1,1.45,0.67,2.28,0.65
"560","wv.770",0.56,0.35,0.33,1.16,0.33,0,0.27,0.28,2.57,0.65
"561","wv.828",0.48,0.02,0.21,0.64,0.2,0.61,1.32,1.02,1.29,0.64
"562","wv.998",0.36,0.41,0.64,0.22,2,0,0.5,0.67,0.99,0.64
"563","wv.908",0.51,0.14,0.32,0.57,1.9,0.35,0.65,1.21,0.15,0.64
"564","wv.780",2.34,0.11,0.24,0.51,1.23,0.51,0.28,0.46,0,0.63
"565","wv.425",0.15,0.18,0.24,1.08,1.47,0.39,0.29,1.56,0.34,0.63
"566","wv.525",0.1,0.17,0.27,1.14,1.82,0.41,0.55,0.23,0.89,0.62
"567","wv.537",1.01,1.18,0.4,0.83,0.11,1.11,0,0.66,0.28,0.62
"568","wv.822",1.51,0.37,0.29,0.88,0.2,0.38,0.42,0.39,1.17,0.62
"569","wv.715",0.25,0.02,0.85,1.47,0.92,0.31,0.7,0.38,0.67,0.62
"570","wv.220",0.61,0.18,2.29,0,0.15,0.13,0.2,1.29,0.66,0.61
"571","wv.99",0.11,0.1,1.03,0,0.68,1.42,1.07,0.44,0.65,0.61
"572","wv.515",0.68,0.24,0.33,1.41,0.36,0.16,0.21,0.58,1.48,0.61
"573","wv.380",0.49,0.11,0,1.65,0.18,0.17,1.82,0.65,0.39,0.61
"574","wv.866",0.1,0.06,0.19,0.88,0.83,1.11,2.11,0,0.25,0.61
"575","wv.829",0.38,0.28,0.59,1.21,0.51,0.14,1.17,0.48,0.69,0.61
"576","wv.128",0.28,0.14,0.16,0.57,0.15,1.5,0.42,0.81,1.42,0.61
"577","wv.34",0.69,0.42,0.59,2.05,0.45,0.19,0.26,0.27,0.56,0.61
"578","wv.997",1.95,0,0.21,0.87,0.77,0.12,0.28,0.57,0.67,0.6
"579","wv.105",1.12,0.02,0.56,1.41,0.37,0.11,0.77,0.75,0.25,0.6
"580","wv.388",0.08,0.11,0.09,0.27,2.03,0.18,1.84,0.49,0.34,0.6
"581","wv.286",0.32,0.18,0.57,1.16,0.64,0.49,0.39,0.26,1.41,0.6
"582","wv.694",1.41,0,0.26,0.21,0.54,0.76,0.48,0.49,1.12,0.59
"583","liwc.relativ",0.34,0.04,0.94,1.11,0.45,0.49,0.53,0.7,0.72,0.59
"584","wv.255",0.1,0.18,0.38,2.23,0.11,0.72,0.22,0.95,0.4,0.59
