"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","weight","total","mean"
"1","recommend",723.993829708089,760.322525867316,721.479497825173,824.084560294823,765.201099789829,810.735044178754,783.223591369851,761.002488259618,750.76925672613,747.321860874451,7648.13375489403,764.813375489403
"678","wv.144",723.993829708089,760.322525867316,721.479497825173,824.084560294823,765.201099789829,810.735044178754,783.223591369851,761.002488259618,750.76925672613,747.321860874451,7648.13375489403,764.813375489403
"2","days.interval",358.277945221019,305.082888059722,287.147558104868,314.035765641675,313.905656378129,315.247189475061,351.561087757541,322.947584992535,369.658439768391,420.157606126656,3358.0217215256,335.80217215256
"679","wv.327",358.277945221019,305.082888059722,287.147558104868,314.035765641675,313.905656378129,315.247189475061,351.561087757541,322.947584992535,369.658439768391,420.157606126656,3358.0217215256,335.80217215256
"5","index",162.783046952357,161.138716220994,188.150028908616,176.736899568204,168.241963626113,187.671896870643,147.436241068855,170.256594037381,143.53689922427,171.567920864341,1677.52020734177,167.752020734177
"682","wv.291",162.783046952357,161.138716220994,188.150028908616,176.736899568204,168.241963626113,187.671896870643,147.436241068855,170.256594037381,143.53689922427,171.567920864341,1677.52020734177,167.752020734177
"29","n.paragraph",100.4680454496,72.2237298069422,40.6085981181593,48.3145723529219,41.0635818261565,37.485919592884,41.0824916652186,64.93656300567,53.024618049847,38.396558306049,537.604678173449,53.7604678173448
"706","wv.948",100.4680454496,72.2237298069422,40.6085981181593,48.3145723529219,41.0635818261565,37.485919592884,41.0824916652186,64.93656300567,53.024618049847,38.396558306049,537.604678173449,53.7604678173448
"3","au.time.play",33.5716343134051,39.2076311598154,31.6668543794751,32.8410245125837,39.1043690628278,26.6478161936454,39.1650460130449,33.5434771761082,36.5791363155722,51.1402618048452,363.467250931323,36.3467250931323
"680","wv.312",33.5716343134051,39.2076311598154,31.6668543794751,32.8410245125837,39.1043690628278,26.6478161936454,39.1650460130449,33.5434771761082,36.5791363155722,51.1402618048452,363.467250931323,36.3467250931323
"103","n.content.remove",24.3732403689433,19.4269165857297,51.3402788815088,72.2783119117676,5.00420732388428,9.18217398848455,49.1885161739629,25.0562262282498,0,50.1847257248895,306.03459718742,30.603459718742
"780","wv.212",24.3732403689433,19.4269165857297,51.3402788815088,72.2783119117676,5.00420732388428,9.18217398848455,49.1885161739629,25.0562262282498,0,50.1847257248895,306.03459718742,30.603459718742
"11","wv.724",4.21948711064371,19.7072740431764,22.6902760415837,32.6090270901964,10.8168025136032,44.8097293574126,22.2278188383847,61.7246660170969,21.1355040929514,26.625417329902,266.566002434951,26.6566002434951
"688","wv.841",4.21948711064371,19.7072740431764,22.6902760415837,32.6090270901964,10.8168025136032,44.8097293574126,22.2278188383847,61.7246660170969,21.1355040929514,26.625417329902,266.566002434951,26.6566002434951
"52","wv.383",15.5827128602781,48.647896633411,26.4502333279829,0,24.7870355407263,32.4926801202641,27.8573031235497,31.0468945879782,32.4976834020277,17.5075312599929,256.869970856211,25.6869970856211
"729","wv.544",15.5827128602781,48.647896633411,26.4502333279829,0,24.7870355407263,32.4926801202641,27.8573031235497,31.0468945879782,32.4976834020277,17.5075312599929,256.869970856211,25.6869970856211
"54","ratio.cap",35.8502648760579,16.074222733227,20.6108670703029,25.9782901201038,22.8742077521036,18.7277082230164,20.157106874389,31.5090764133618,42.1087427676093,19.4277937523197,253.318280582491,25.3318280582491
"731","wv.295",35.8502648760579,16.074222733227,20.6108670703029,25.9782901201038,22.8742077521036,18.7277082230164,20.157106874389,31.5090764133618,42.1087427676093,19.4277937523197,253.318280582491,25.3318280582491
"23","wv.9",0,46.2946349103364,28.2059360653967,44.5988744565023,31.6431614954243,15.2156830359022,0,30.86099891714,19.2762671860222,29.379606954982,245.475163021706,24.5475163021706
"700","wv.195",0,46.2946349103364,28.2059360653967,44.5988744565023,31.6431614954243,15.2156830359022,0,30.86099891714,19.2762671860222,29.379606954982,245.475163021706,24.5475163021706
"283","wv.723",57.102510843714,2.95910428415959,29.7606557409238,18.9846538117162,14.3324986183355,23.4082210042245,10.6743876986036,17.8873485420977,17.9382902129588,43.6198886067347,236.667559363468,23.6667559363468
"960","wv.28",57.102510843714,2.95910428415959,29.7606557409238,18.9846538117162,14.3324986183355,23.4082210042245,10.6743876986036,17.8873485420977,17.9382902129588,43.6198886067347,236.667559363468,23.6667559363468
"161","wv.236",0,3.80036898192223,22.1305136026454,39.1825576644018,23.0062192231366,12.8041286055229,68.0368916304971,3.20485323668511,46.0423477980607,15.2439134601129,233.451794202985,23.3451794202985
"838","wv.921",0,3.80036898192223,22.1305136026454,39.1825576644018,23.0062192231366,12.8041286055229,68.0368916304971,3.20485323668511,46.0423477980607,15.2439134601129,233.451794202985,23.3451794202985
"69","wv.408",28.5339521882063,40.0792880677926,22.3622937986963,12.6300746032058,27.890387544587,0,14.2384791769662,27.4496898844221,20.3444050481395,24.5515368311235,218.080107143139,21.8080107143139
"746","wv.661",28.5339521882063,40.0792880677926,22.3622937986963,12.6300746032058,27.890387544587,0,14.2384791769662,27.4496898844221,20.3444050481395,24.5515368311235,218.080107143139,21.8080107143139
"184","wv.213",36.4227073586059,20.1738003269558,10.5162109326351,3.58125406455263,22.9986115734326,26.9077085300916,34.1628356999076,17.5679981794434,24.663699644948,17.7615767204191,214.756403030992,21.4756403030992
"861","wv.170",36.4227073586059,20.1738003269558,10.5162109326351,3.58125406455263,22.9986115734326,26.9077085300916,34.1628356999076,17.5679981794434,24.663699644948,17.7615767204191,214.756403030992,21.4756403030992
"9","wv.698",17.7214726364905,8.45585682116509,20.2824444938646,18.8400348231613,21.2796403500056,38.5701254578712,25.4867577205546,12.5191977375709,24.5524484309246,24.0448748410619,211.75285331267,21.175285331267
"686","wv.492",17.7214726364905,8.45585682116509,20.2824444938646,18.8400348231613,21.2796403500056,38.5701254578712,25.4867577205546,12.5191977375709,24.5524484309246,24.0448748410619,211.75285331267,21.175285331267
"28","n.games",33.6190960394221,18.9516745935393,18.1775650620321,16.3216991819854,12.4244613714156,29.3862374867021,19.3723791534686,15.8273996137596,29.9353579391323,13.6416149815182,207.657485422975,20.7657485422975
"705","wv.607",33.6190960394221,18.9516745935393,18.1775650620321,16.3216991819854,12.4244613714156,29.3862374867021,19.3723791534686,15.8273996137596,29.9353579391323,13.6416149815182,207.657485422975,20.7657485422975
"36","wv.665",15.0594473443241,23.1754900405281,5.60678061906782,61.11679836071,11.1168938102888,15.4700228809212,14.8507848577226,37.5907790138794,15.4886027758233,0,199.475599703265,19.9475599703265
"713","wv.358",15.0594473443241,23.1754900405281,5.60678061906782,61.11679836071,11.1168938102888,15.4700228809212,14.8507848577226,37.5907790138794,15.4886027758233,0,199.475599703265,19.9475599703265
"200","wv.649",16.7525205252889,35.3216843721354,0,23.4193697108467,11.0009800411319,14.8686604913876,3.48449081913803,57.091680227139,22.8775509142863,14.0513613585043,198.868298459858,19.8868298459858
"877","wv.725",16.7525205252889,35.3216843721354,0,23.4193697108467,11.0009800411319,14.8686604913876,3.48449081913803,57.091680227139,22.8775509142863,14.0513613585043,198.868298459858,19.8868298459858
"151","wv.970",0,0,39.7998274601674,21.1504840179012,19.0481477558505,10.3971618948714,24.3919841000871,24.4742678411132,37.4611351863528,20.744264546927,197.467272803271,19.7467272803271
"828","wv.444",0,0,39.7998274601674,21.1504840179012,19.0481477558505,10.3971618948714,24.3919841000871,24.4742678411132,37.4611351863528,20.744264546927,197.467272803271,19.7467272803271
"162","wv.389",0,24.6992896731433,2.58507650766779,6.72989330872533,43.6534586009242,41.6720798165953,24.0739779010244,7.76842607163967,15.4842791219648,20.8339643663725,187.500445368057,18.7500445368057
"839","wv.372",0,24.6992896731433,2.58507650766779,6.72989330872533,43.6534586009242,41.6720798165953,24.0739779010244,7.76842607163967,15.4842791219648,20.8339643663725,187.500445368057,18.7500445368057
"280","wv.656",15.2374094546661,0,0,4.01309702414339,41.3059280071651,34.9897979090173,27.0573317490285,15.3166597355923,41.9765039405339,4.0844890746988,183.981216894845,18.3981216894845
"957","liwc.function",15.2374094546661,0,0,4.01309702414339,41.3059280071651,34.9897979090173,27.0573317490285,15.3166597355923,41.9765039405339,4.0844890746988,183.981216894845,18.3981216894845
"45","wv.752",3.44611809053704,0,21.7612155261843,15.761751451969,19.9409250962031,4.47290596894842,27.5931275836531,40.3900155844334,4.59342118125646,24.6104239057879,162.569904388973,16.2569904388973
"722","wv.924",3.44611809053704,0,21.7612155261843,15.761751451969,19.9409250962031,4.47290596894842,27.5931275836531,40.3900155844334,4.59342118125646,24.6104239057879,162.569904388973,16.2569904388973
