"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","weight","total","mean"
"1","days.interval",377.907230815112,445.49317465609,368.455019339679,412.180346745139,406.554091452862,423.831426083585,406.824105000249,440.350171740403,404.396938607764,447.765097764657,4133.75760220554,413.375760220554
"480","wv.753",377.907230815112,445.49317465609,368.455019339679,412.180346745139,406.554091452862,423.831426083585,406.824105000249,440.350171740403,404.396938607764,447.765097764657,4133.75760220554,413.375760220554
"959","wv.546",377.907230815112,445.49317465609,368.455019339679,412.180346745139,406.554091452862,423.831426083585,406.824105000249,440.350171740403,404.396938607764,447.765097764657,4133.75760220554,413.375760220554
"2","recommend",264.543251192391,245.481268468338,357.16288506153,305.273243022768,278.188447266424,306.389449779275,318.468110789801,329.241240762202,288.044535213988,366.324407537742,3059.11683909446,305.911683909446
"481","wv.971",264.543251192391,245.481268468338,357.16288506153,305.273243022768,278.188447266424,306.389449779275,318.468110789801,329.241240762202,288.044535213988,366.324407537742,3059.11683909446,305.911683909446
"960","wv.317",264.543251192391,245.481268468338,357.16288506153,305.273243022768,278.188447266424,306.389449779275,318.468110789801,329.241240762202,288.044535213988,366.324407537742,3059.11683909446,305.911683909446
"3","index",56.836519208295,57.3883174255653,31.9827786573993,70.5181723419204,44.740990273459,63.1307717251965,61.3011092472127,39.4035099080317,57.6751012494334,69.671381020558,552.648651057071,55.2648651057071
"482","wv.314",56.836519208295,57.3883174255653,31.9827786573993,70.5181723419204,44.740990273459,63.1307717251965,61.3011092472127,39.4035099080317,57.6751012494334,69.671381020558,552.648651057071,55.2648651057071
"961","wv.867",56.836519208295,57.3883174255653,31.9827786573993,70.5181723419204,44.740990273459,63.1307717251965,61.3011092472127,39.4035099080317,57.6751012494334,69.671381020558,552.648651057071,55.2648651057071
"199","n.paragraph",74.7784499346718,54.547505726383,31.3482327745788,71.0086308678755,4.69343919946762,55.7305517751602,21.4252840577062,15.9398381298669,34.8456299395048,43.5787323750552,407.89629478027,40.789629478027
"678","liwc.Dic",74.7784499346718,54.547505726383,31.3482327745788,71.0086308678755,4.69343919946762,55.7305517751602,21.4252840577062,15.9398381298669,34.8456299395048,43.5787323750552,407.89629478027,40.789629478027
"34","wv.246",68.9491192421025,51.5111244870675,24.2165399944994,15.1461005505617,20.5702637251388,42.5461025967372,31.4369876354995,45.4960970956356,39.1590874143154,26.850955386958,365.882378128516,36.5882378128516
